"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[220]",8,"2022-06-17 07:51:15,810","2022-06-17 07:51:16,648","serv1","transport",false,"2022-06-17 07:51:16,058","2022-06-17 07:51:16,684","rht-005","2022-06-17 07:51:16,842","2022-06-17 07:51:17,238","rhm-006","2022-06-17 07:51:17,525","2022-06-17 07:51:17,997"
"productHolon[6]",4,"2022-06-17 07:51:14,873","2022-06-17 07:51:16,754","serv1","transport",false,"2022-06-17 07:51:16,710","2022-06-17 07:51:16,793","rht-001","2022-06-17 07:51:16,853","2022-06-17 07:51:17,606","rhm-010","2022-06-17 07:51:18,190","2022-06-17 07:51:18,664"
"productHolon[337]",10,"2022-06-17 07:51:16,234","2022-06-17 07:51:17,076","serv1","transport",false,"2022-06-17 07:51:16,902","2022-06-17 07:51:17,094","rht-004","2022-06-17 07:51:17,275","2022-06-17 07:51:17,606","rhm-003","2022-06-17 07:51:18,269","2022-06-17 07:51:18,665"
"productHolon[131]",9,"2022-06-17 07:51:16,060","2022-06-17 07:51:16,817","serv1","transport",false,"2022-06-17 07:51:16,807","2022-06-17 07:51:16,834","rht-003","2022-06-17 07:51:16,969","2022-06-17 07:51:17,239","rhm-002","2022-06-17 07:51:17,917","2022-06-17 07:51:18,665"
"productHolon[39]",3,"2022-06-17 07:51:14,840","2022-06-17 07:51:17,137","serv1","transport",false,"2022-06-17 07:51:17,078","2022-06-17 07:51:17,207","rht-002","2022-06-17 07:51:17,677","2022-06-17 07:51:17,915","rhm-008","2022-06-17 07:51:18,540","2022-06-17 07:51:18,932"
"productHolon[623]",17,"2022-06-17 07:51:16,779","2022-06-17 07:51:18,945","serv1","transport",false,"2022-06-17 07:51:17,200","2022-06-17 07:51:19,010","rht-004","2022-06-17 07:51:19,250","2022-06-17 07:51:19,557","rhm-004","2022-06-17 07:51:19,919","2022-06-17 07:51:20,205"
"productHolon[446]",18,"2022-06-17 07:51:16,782","2022-06-17 07:51:17,113","serv1","transport",false,"2022-06-17 07:51:16,898","2022-06-17 07:51:17,205","rht-005","2022-06-17 07:51:18,600","2022-06-17 07:51:18,673","rhm-001","2022-06-17 07:51:19,823","2022-06-17 07:51:20,206"
"productHolon[579]",16,"2022-06-17 07:51:16,674","2022-06-17 07:51:17,552","serv1","transport",false,"2022-06-17 07:51:17,185","2022-06-17 07:51:17,688","rht-003","2022-06-17 07:51:18,930","2022-06-17 07:51:19,381","rhm-005","2022-06-17 07:51:19,822","2022-06-17 07:51:20,358"
"productHolon[752]",25,"2022-06-17 07:51:16,903","2022-06-17 07:51:17,325","serv1","transport",false,"2022-06-17 07:51:17,132","2022-06-17 07:51:17,689","rht-002","2022-06-17 07:51:19,045","2022-06-17 07:51:19,513","rhm-007","2022-06-17 07:51:20,143","2022-06-17 07:51:20,541"
"productHolon[202]",14,"2022-06-17 07:51:16,621","2022-06-17 07:51:17,752","serv1","transport",false,"2022-06-17 07:51:17,202","2022-06-17 07:51:18,177","rht-001","2022-06-17 07:51:20,397","2022-06-17 07:51:20,446","rhm-009","2022-06-17 07:51:20,992","2022-06-17 07:51:21,939"
