"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[54]",5,"2022-06-17 11:05:24,426","2022-06-17 11:05:25,682","serv1","transport",false,"2022-06-17 11:05:25,128","2022-06-17 11:05:26,630","rht-005","2022-06-17 11:05:26,955","2022-06-17 11:05:27,321","rhm-009","2022-06-17 11:05:28,321","2022-06-17 11:05:28,382"
"productHolon[299]",11,"2022-06-17 11:05:25,822","2022-06-17 11:05:27,237","serv1","transport",false,"2022-06-17 11:05:25,857","2022-06-17 11:05:27,256","rht-009","2022-06-17 11:05:27,663","2022-06-17 11:05:27,846","rhm-008","2022-06-17 11:05:28,320","2022-06-17 11:05:28,520"
"productHolon[366]",13,"2022-06-17 11:05:25,930","2022-06-17 11:05:29,181","serv1","transport",false,"2022-06-17 11:05:28,068","2022-06-17 11:05:29,192","rht-003","2022-06-17 11:05:29,392","2022-06-17 11:05:29,485","rhm-010","2022-06-17 11:05:29,790","2022-06-17 11:05:29,971"
"productHolon[148]",2,"2022-06-17 11:05:24,085","2022-06-17 11:05:29,926","serv1","transport",false,"2022-06-17 11:05:28,136","2022-06-17 11:05:29,960","rht-003","2022-06-17 11:05:30,062","2022-06-17 11:05:30,193","rhm-004","2022-06-17 11:05:30,420","2022-06-17 11:05:30,706"
"productHolon[1967]",63,"2022-06-17 11:05:28,934","2022-06-17 11:05:30,095","serv1","transport",false,"2022-06-17 11:05:30,089","2022-06-17 11:05:30,102","rht-008","2022-06-17 11:05:30,195","2022-06-17 11:05:30,737","rhm-010","2022-06-17 11:05:30,829","2022-06-17 11:05:31,137"
"productHolon[136]",3,"2022-06-17 11:05:24,116","2022-06-17 11:05:30,399","serv1","transport",false,"2022-06-17 11:05:27,282","2022-06-17 11:05:30,417","rht-009","2022-06-17 11:05:30,560","2022-06-17 11:05:31,010","rhm-006","2022-06-17 11:05:31,136","2022-06-17 11:05:31,274"
"productHolon[1316]",41,"2022-06-17 11:05:27,827","2022-06-17 11:05:31,402","serv1","transport",false,"2022-06-17 11:05:29,119","2022-06-17 11:05:31,416","rht-004","2022-06-17 11:05:31,554","2022-06-17 11:05:31,752","rhm-008","2022-06-17 11:05:31,809","2022-06-17 11:05:32,012"
"productHolon[114]",1,"2022-06-17 11:05:24,037","2022-06-17 11:05:31,724","serv1","transport",false,"2022-06-17 11:05:25,744","2022-06-17 11:05:31,736","rht-010","2022-06-17 11:05:31,867","2022-06-17 11:05:32,067","rhm-005","2022-06-17 11:05:32,444","2022-06-17 11:05:32,639"
"productHolon[2601]",120,"2022-06-17 11:05:29,907","2022-06-17 11:05:32,233","serv1","transport",false,"2022-06-17 11:05:31,467","2022-06-17 11:05:32,284","rht-002","2022-06-17 11:05:32,362","2022-06-17 11:05:32,754","rhm-006","2022-06-17 11:05:33,245","2022-06-17 11:05:33,837"
"productHolon[2556]",230,"2022-06-17 11:05:32,016","2022-06-17 11:05:32,194","serv1","transport",false,"2022-06-17 11:05:32,190","2022-06-17 11:05:32,199","rht-003","2022-06-17 11:05:32,323","2022-06-17 11:05:32,753","rhm-008","2022-06-17 11:05:33,057","2022-06-17 11:05:33,837"
"productHolon[103]",19,"2022-06-17 11:05:26,438","2022-06-17 11:05:32,324","serv1","transport",false,"2022-06-17 11:05:27,481","2022-06-17 11:05:32,378","rht-009","2022-06-17 11:05:32,484","2022-06-17 11:05:32,753","rhm-003","2022-06-17 11:05:33,328","2022-06-17 11:05:34,019"
"productHolon[2429]",87,"2022-06-17 11:05:29,561","2022-06-17 11:05:32,127","serv1","transport",false,"2022-06-17 11:05:30,950","2022-06-17 11:05:32,160","rht-001","2022-06-17 11:05:32,230","2022-06-17 11:05:32,754","rhm-004","2022-06-17 11:05:33,658","2022-06-17 11:05:34,020"
"productHolon[2663]",146,"2022-06-17 11:05:30,396","2022-06-17 11:05:32,740","serv1","transport",false,"2022-06-17 11:05:31,394","2022-06-17 11:05:32,754","rht-004","2022-06-17 11:05:32,813","2022-06-17 11:05:33,521","rhm-010","2022-06-17 11:05:34,222","2022-06-17 11:05:34,494"
"productHolon[93]",21,"2022-06-17 11:05:26,536","2022-06-17 11:05:32,536","serv1","transport",false,"2022-06-17 11:05:28,738","2022-06-17 11:05:32,569","rht-010","2022-06-17 11:05:32,679","2022-06-17 11:05:33,037","rhm-009","2022-06-17 11:05:33,801","2022-06-17 11:05:34,546"
"productHolon[136]",253,"2022-06-17 11:05:32,522","2022-06-17 11:05:32,709","serv2","transport",false,"2022-06-17 11:05:32,530","2022-06-17 11:05:32,806","rht-007","2022-06-17 11:05:33,201","2022-06-17 11:05:33,927","rhm-004","2022-06-17 11:05:35,314","2022-06-17 11:05:35,529"
"productHolon[789]",27,"2022-06-17 11:05:27,014","2022-06-17 11:05:33,769","serv1","transport",false,"2022-06-17 11:05:27,369","2022-06-17 11:05:34,057","rht-009","2022-06-17 11:05:34,557","2022-06-17 11:05:34,902","rhm-007","2022-06-17 11:05:35,313","2022-06-17 11:05:35,529"
"productHolon[366]",188,"2022-06-17 11:05:31,368","2022-06-17 11:05:32,675","serv2","transport",false,"2022-06-17 11:05:31,370","2022-06-17 11:05:32,756","rht-006","2022-06-17 11:05:32,876","2022-06-17 11:05:33,244","rhm-010","2022-06-17 11:05:35,505","2022-06-17 11:05:35,701"
"productHolon[2064]",122,"2022-06-17 11:05:29,923","2022-06-17 11:05:34,214","serv1","transport",false,"2022-06-17 11:05:33,339","2022-06-17 11:05:34,217","rht-002","2022-06-17 11:05:34,556","2022-06-17 11:05:34,907","rhm-005","2022-06-17 11:05:35,531","2022-06-17 11:05:35,761"
"productHolon[1293]",42,"2022-06-17 11:05:27,897","2022-06-17 11:05:34,446","serv1","transport",false,"2022-06-17 11:05:28,368","2022-06-17 11:05:34,668","rht-008","2022-06-17 11:05:35,025","2022-06-17 11:05:35,304","rhm-002","2022-06-17 11:05:36,036","2022-06-17 11:05:36,320"
"productHolon[54]",127,"2022-06-17 11:05:30,196","2022-06-17 11:05:34,226","serv2","transport",false,"2022-06-17 11:05:30,198","2022-06-17 11:05:34,682","rht-001","2022-06-17 11:05:34,867","2022-06-17 11:05:35,303","rhm-001","2022-06-17 11:05:36,036","2022-06-17 11:05:36,722"
"productHolon[1661]",80,"2022-06-17 11:05:29,417","2022-06-17 11:05:35,532","serv1","transport",false,"2022-06-17 11:05:34,832","2022-06-17 11:05:35,570","rht-005","2022-06-17 11:05:35,702","2022-06-17 11:05:36,001","rhm-004","2022-06-17 11:05:36,535","2022-06-17 11:05:37,249"
"productHolon[1092]",32,"2022-06-17 11:05:27,391","2022-06-17 11:05:35,610","serv1","transport",false,"2022-06-17 11:05:34,770","2022-06-17 11:05:35,727","rht-010","2022-06-17 11:05:35,932","2022-06-17 11:05:36,453","rhm-006","2022-06-17 11:05:37,042","2022-06-17 11:05:37,473"
"productHolon[1504]",49,"2022-06-17 11:05:28,360","2022-06-17 11:05:35,797","serv1","transport",false,"2022-06-17 11:05:34,767","2022-06-17 11:05:35,962","rht-006","2022-06-17 11:05:36,625","2022-06-17 11:05:36,823","rhm-003","2022-06-17 11:05:37,317","2022-06-17 11:05:37,931"
