"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[61]",2,"2022-06-17 09:04:42,901","2022-06-17 09:04:45,746","serv1","transport",false,"2022-06-17 09:04:45,062","2022-06-17 09:04:45,749","rht-010","2022-06-17 09:04:45,924","2022-06-17 09:04:46,113","rhm-006","2022-06-17 09:04:46,699","2022-06-17 09:04:46,909"
"productHolon[289]",14,"2022-06-17 09:04:44,313","2022-06-17 09:04:45,600","serv1","transport",false,"2022-06-17 09:04:45,116","2022-06-17 09:04:45,644","rht-004","2022-06-17 09:04:45,839","2022-06-17 09:04:46,113","rhm-008","2022-06-17 09:04:46,881","2022-06-17 09:04:47,145"
"productHolon[55]",13,"2022-06-17 09:04:44,198","2022-06-17 09:04:45,811","serv1","transport",false,"2022-06-17 09:04:45,307","2022-06-17 09:04:45,847","rht-005","2022-06-17 09:04:46,114","2022-06-17 09:04:46,201","rhm-009","2022-06-17 09:04:47,059","2022-06-17 09:04:47,353"
"productHolon[209]",17,"2022-06-17 09:04:44,998","2022-06-17 09:04:45,690","serv1","transport",false,"2022-06-17 09:04:45,411","2022-06-17 09:04:45,712","rht-009","2022-06-17 09:04:45,839","2022-06-17 09:04:46,147","rhm-007","2022-06-17 09:04:47,058","2022-06-17 09:04:47,500"
"productHolon[4]",8,"2022-06-17 09:04:43,841","2022-06-17 09:04:46,158","serv1","transport",false,"2022-06-17 09:04:45,930","2022-06-17 09:04:46,210","rht-008","2022-06-17 09:04:46,644","2022-06-17 09:04:46,971","rhm-003","2022-06-17 09:04:47,612","2022-06-17 09:04:48,161"
"productHolon[77]",10,"2022-06-17 09:04:43,884","2022-06-17 09:04:46,258","serv1","transport",false,"2022-06-17 09:04:45,966","2022-06-17 09:04:46,276","rht-002","2022-06-17 09:04:46,645","2022-06-17 09:04:46,685","rhm-001","2022-06-17 09:04:47,500","2022-06-17 09:04:48,162"
"productHolon[214]",29,"2022-06-17 09:04:45,802","2022-06-17 09:04:46,150","serv1","transport",false,"2022-06-17 09:04:45,942","2022-06-17 09:04:46,219","rht-001","2022-06-17 09:04:46,945","2022-06-17 09:04:47,780","rhm-010","2022-06-17 09:04:48,560","2022-06-17 09:04:49,151"
"productHolon[374]",23,"2022-06-17 09:04:45,640","2022-06-17 09:04:46,368","serv1","transport",false,"2022-06-17 09:04:45,965","2022-06-17 09:04:46,384","rht-006","2022-06-17 09:04:46,944","2022-06-17 09:04:47,779","rhm-002","2022-06-17 09:04:48,315","2022-06-17 09:04:49,151"
"productHolon[404]",20,"2022-06-17 09:04:45,465","2022-06-17 09:04:46,465","serv1","transport",false,"2022-06-17 09:04:45,973","2022-06-17 09:04:46,511","rht-003","2022-06-17 09:04:47,723","2022-06-17 09:04:47,780","rhm-004","2022-06-17 09:04:48,314","2022-06-17 09:04:49,151"
"productHolon[27]",1,"2022-06-17 09:04:42,810","2022-06-17 09:04:46,361","serv1","transport",false,"2022-06-17 09:04:45,962","2022-06-17 09:04:46,375","rht-007","2022-06-17 09:04:46,944","2022-06-17 09:04:48,002","rhm-005","2022-06-17 09:04:49,688","2022-06-17 09:04:50,589"
"productHolon[55]",32,"2022-06-17 09:04:47,967","2022-06-17 09:04:48,258","serv2","transport",false,"2022-06-17 09:04:48,171","2022-06-17 09:04:48,605","rht-006","2022-06-17 09:04:49,066","2022-06-17 09:04:49,091","rhm-006","2022-06-17 09:04:49,688","2022-06-17 09:04:50,705"
