"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[5]",1,"2022-06-17 08:33:17,222","2022-06-17 08:33:19,546","serv2","transport",false,"2022-06-17 08:33:19,321","2022-06-17 08:33:19,653","rht-010","2022-06-17 08:33:20,200","2022-06-17 08:33:20,318","rhm-010","2022-06-17 08:33:20,848","2022-06-17 08:33:20,894"
"productHolon[128]",6,"2022-06-17 08:33:17,815","2022-06-17 08:33:20,167","serv1","transport",false,"2022-06-17 08:33:18,874","2022-06-17 08:33:20,179","rht-004","2022-06-17 08:33:20,810","2022-06-17 08:33:21,264","rhm-010","2022-06-17 08:33:21,834","2022-06-17 08:33:22,435"
"productHolon[461]",21,"2022-06-17 08:33:19,869","2022-06-17 08:33:20,898","serv3","transport",false,"2022-06-17 08:33:20,025","2022-06-17 08:33:20,946","rht-010","2022-06-17 08:33:21,249","2022-06-17 08:33:21,987","rhm-008","2022-06-17 08:33:22,727","2022-06-17 08:33:22,763"
"productHolon[233]",7,"2022-06-17 08:33:18,407","2022-06-17 08:33:20,933","serv1","transport",false,"2022-06-17 08:33:20,596","2022-06-17 08:33:20,942","rht-003","2022-06-17 08:33:21,065","2022-06-17 08:33:21,349","rhm-004","2022-06-17 08:33:21,993","2022-06-17 08:33:22,763"
"productHolon[1056]",23,"2022-06-17 08:33:20,114","2022-06-17 08:33:20,949","serv3","transport",false,"2022-06-17 08:33:20,142","2022-06-17 08:33:21,031","rht-005","2022-06-17 08:33:21,421","2022-06-17 08:33:21,819","rhm-002","2022-06-17 08:33:23,500","2022-06-17 08:33:24,048"
"productHolon[92]",11,"2022-06-17 08:33:18,641","2022-06-17 08:33:20,912","serv2","transport",false,"2022-06-17 08:33:20,320","2022-06-17 08:33:20,951","rht-001","2022-06-17 08:33:21,249","2022-06-17 08:33:21,987","rhm-008","2022-06-17 08:33:24,071","2022-06-17 08:33:24,392"
"productHolon[807]",27,"2022-06-17 08:33:20,254","2022-06-17 08:33:21,917","serv2","transport",false,"2022-06-17 08:33:20,561","2022-06-17 08:33:21,918","rht-004","2022-06-17 08:33:22,310","2022-06-17 08:33:23,393","rhm-007","2022-06-17 08:33:24,071","2022-06-17 08:33:24,392"
"productHolon[1365]",40,"2022-06-17 08:33:21,174","2022-06-17 08:33:22,109","serv3","transport",false,"2022-06-17 08:33:21,260","2022-06-17 08:33:22,232","rht-006","2022-06-17 08:33:22,578","2022-06-17 08:33:23,394","rhm-003","2022-06-17 08:33:24,070","2022-06-17 08:33:24,662"
"productHolon[115]",13,"2022-06-17 08:33:18,768","2022-06-17 08:33:22,671","serv1","transport",false,"2022-06-17 08:33:19,479","2022-06-17 08:33:22,718","rht-010","2022-06-17 08:33:23,475","2022-06-17 08:33:24,285","rhm-006","2022-06-17 08:33:24,882","2022-06-17 08:33:25,282"
"productHolon[573]",19,"2022-06-17 08:33:19,584","2022-06-17 08:33:21,988","serv1","transport",false,"2022-06-17 08:33:19,848","2022-06-17 08:33:21,998","rht-002","2022-06-17 08:33:22,817","2022-06-17 08:33:23,393","rhm-008","2022-06-17 08:33:25,407","2022-06-17 08:33:25,722"
"productHolon[1475]",37,"2022-06-17 08:33:20,896","2022-06-17 08:33:22,762","serv3","transport",false,"2022-06-17 08:33:21,586","2022-06-17 08:33:22,814","rht-007","2022-06-17 08:33:23,298","2022-06-17 08:33:24,104","rhm-006","2022-06-17 08:33:25,580","2022-06-17 08:33:25,940"
"productHolon[391]",12,"2022-06-17 08:33:18,670","2022-06-17 08:33:25,202","serv2","transport",false,"2022-06-17 08:33:19,931","2022-06-17 08:33:25,204","rht-006","2022-06-17 08:33:25,382","2022-06-17 08:33:25,737","rhm-002","2022-06-17 08:33:25,986","2022-06-17 08:33:26,209"
"productHolon[1960]",118,"2022-06-17 08:33:25,714","2022-06-17 08:33:26,496","serv3","transport",false,"2022-06-17 08:33:26,201","2022-06-17 08:33:26,499","rht-006","2022-06-17 08:33:26,665","2022-06-17 08:33:26,882","rhm-006","2022-06-17 08:33:27,033","2022-06-17 08:33:27,301"
"productHolon[857]",25,"2022-06-17 08:33:20,172","2022-06-17 08:33:26,725","serv3","transport",false,"2022-06-17 08:33:20,389","2022-06-17 08:33:26,780","rht-003","2022-06-17 08:33:26,801","2022-06-17 08:33:27,189","rhm-004","2022-06-17 08:33:28,003","2022-06-17 08:33:28,251"
"productHolon[469]",20,"2022-06-17 08:33:19,863","2022-06-17 08:33:26,653","serv2","transport",false,"2022-06-17 08:33:21,477","2022-06-17 08:33:26,661","rht-005","2022-06-17 08:33:26,845","2022-06-17 08:33:27,189","rhm-003","2022-06-17 08:33:28,002","2022-06-17 08:33:28,473"
"productHolon[169]",96,"2022-06-17 08:33:25,175","2022-06-17 08:33:26,486","serv2","transport",false,"2022-06-17 08:33:26,374","2022-06-17 08:33:26,491","rht-001","2022-06-17 08:33:26,665","2022-06-17 08:33:27,297","rhm-002","2022-06-17 08:33:28,030","2022-06-17 08:33:28,474"
"productHolon[1915]",61,"2022-06-17 08:33:22,512","2022-06-17 08:33:27,018","serv3","transport",false,"2022-06-17 08:33:23,582","2022-06-17 08:33:27,023","rht-004","2022-06-17 08:33:27,245","2022-06-17 08:33:27,792","rhm-008","2022-06-17 08:33:28,257","2022-06-17 08:33:28,841"
"productHolon[80]",2,"2022-06-17 08:33:17,550","2022-06-17 08:33:27,002","serv2","transport",false,"2022-06-17 08:33:20,119","2022-06-17 08:33:27,010","rht-007","2022-06-17 08:33:27,366","2022-06-17 08:33:27,792","rhm-004","2022-06-17 08:33:28,694","2022-06-17 08:33:28,968"
"productHolon[178]",14,"2022-06-17 08:33:18,829","2022-06-17 08:33:27,753","serv3","transport",false,"2022-06-17 08:33:21,273","2022-06-17 08:33:27,847","rht-002","2022-06-17 08:33:28,031","2022-06-17 08:33:28,246","rhm-005","2022-06-17 08:33:28,944","2022-06-17 08:33:29,245"
"productHolon[548]",29,"2022-06-17 08:33:20,356","2022-06-17 08:33:28,421","serv2","transport",false,"2022-06-17 08:33:21,026","2022-06-17 08:33:28,479","rht-001","2022-06-17 08:33:29,173","2022-06-17 08:33:29,455","rhm-001","2022-06-17 08:33:29,685","2022-06-17 08:33:30,323"
"productHolon[481]",17,"2022-06-17 08:33:19,407","2022-06-17 08:33:29,282","serv2","transport",false,"2022-06-17 08:33:25,142","2022-06-17 08:33:29,291","rht-008","2022-06-17 08:33:29,519","2022-06-17 08:33:29,693","rhm-008","2022-06-17 08:33:30,109","2022-06-17 08:33:30,324"
"productHolon[1004]",34,"2022-06-17 08:33:20,779","2022-06-17 08:33:28,684","serv1","transport",false,"2022-06-17 08:33:22,720","2022-06-17 08:33:28,693","rht-005","2022-06-17 08:33:29,172","2022-06-17 08:33:29,550","rhm-010","2022-06-17 08:33:29,980","2022-06-17 08:33:30,458"
"productHolon[10]",16,"2022-06-17 08:33:19,335","2022-06-17 08:33:29,930","serv1","transport",false,"2022-06-17 08:33:19,877","2022-06-17 08:33:29,937","rht-006","2022-06-17 08:33:30,251","2022-06-17 08:33:30,431","rhm-002","2022-06-17 08:33:30,932","2022-06-17 08:33:31,070"
"productHolon[2928]",115,"2022-06-17 08:33:25,619","2022-06-17 08:33:29,574","serv1","transport",false,"2022-06-17 08:33:25,856","2022-06-17 08:33:29,632","rht-004","2022-06-17 08:33:29,815","2022-06-17 08:33:30,114","rhm-008","2022-06-17 08:33:30,931","2022-06-17 08:33:31,286"
"productHolon[1480]",110,"2022-06-17 08:33:25,491","2022-06-17 08:33:30,434","serv2","transport",false,"2022-06-17 08:33:28,977","2022-06-17 08:33:30,490","rht-005","2022-06-17 08:33:30,657","2022-06-17 08:33:30,917","rhm-002","2022-06-17 08:33:31,831","2022-06-17 08:33:32,553"
"productHolon[1280]",32,"2022-06-17 08:33:20,758","2022-06-17 08:33:28,720","serv3","transport",false,"2022-06-17 08:33:21,488","2022-06-17 08:33:28,723","rht-002","2022-06-17 08:33:29,249","2022-06-17 08:33:29,454","rhm-001","2022-06-17 08:33:31,830","2022-06-17 08:33:32,553"
"productHolon[1842]",169,"2022-06-17 08:33:26,794","2022-06-17 08:33:30,525","serv3","transport",false,"2022-06-17 08:33:29,007","2022-06-17 08:33:30,527","rht-004","2022-06-17 08:33:30,657","2022-06-17 08:33:30,761","rhm-008","2022-06-17 08:33:32,068","2022-06-17 08:33:32,814"
"productHolon[2088]",68,"2022-06-17 08:33:23,044","2022-06-17 08:33:30,978","serv1","transport",false,"2022-06-17 08:33:25,434","2022-06-17 08:33:31,044","rht-008","2022-06-17 08:33:31,159","2022-06-17 08:33:31,498","rhm-006","2022-06-17 08:33:32,284","2022-06-17 08:33:32,814"
"productHolon[901]",22,"2022-06-17 08:33:20,023","2022-06-17 08:33:30,976","serv3","transport",false,"2022-06-17 08:33:21,085","2022-06-17 08:33:31,138","rht-006","2022-06-17 08:33:31,283","2022-06-17 08:33:31,497","rhm-007","2022-06-17 08:33:32,441","2022-06-17 08:33:32,820"
"productHolon[2758]",213,"2022-06-17 08:33:28,942","2022-06-17 08:33:30,786","serv2","transport",false,"2022-06-17 08:33:29,455","2022-06-17 08:33:30,858","rht-001","2022-06-17 08:33:30,986","2022-06-17 08:33:31,625","rhm-004","2022-06-17 08:33:32,701","2022-06-17 08:33:33,334"
