"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[252]",9,"2022-06-17 09:08:43,520","2022-06-17 09:08:44,478","serv1","transport",false,"2022-06-17 09:08:44,217","2022-06-17 09:08:44,629","rht-009","2022-06-17 09:08:44,938","2022-06-17 09:08:45,147","rhm-009","2022-06-17 09:08:45,619","2022-06-17 09:08:46,084"
"productHolon[237]",12,"2022-06-17 09:08:44,266","2022-06-17 09:08:44,854","serv1","transport",false,"2022-06-17 09:08:44,640","2022-06-17 09:08:44,860","rht-006","2022-06-17 09:08:44,939","2022-06-17 09:08:45,493","rhm-006","2022-06-17 09:08:46,018","2022-06-17 09:08:46,533"
"productHolon[193]",5,"2022-06-17 09:08:42,552","2022-06-17 09:08:44,837","serv1","transport",false,"2022-06-17 09:08:44,501","2022-06-17 09:08:44,883","rht-005","2022-06-17 09:08:45,008","2022-06-17 09:08:45,494","rhm-002","2022-06-17 09:08:45,847","2022-06-17 09:08:46,534"
"productHolon[748]",16,"2022-06-17 09:08:44,544","2022-06-17 09:08:44,981","serv1","transport",false,"2022-06-17 09:08:44,611","2022-06-17 09:08:45,156","rht-001","2022-06-17 09:08:45,304","2022-06-17 09:08:45,650","rhm-003","2022-06-17 09:08:46,206","2022-06-17 09:08:46,645"
"productHolon[791]",29,"2022-06-17 09:08:44,841","2022-06-17 09:08:45,228","serv1","transport",false,"2022-06-17 09:08:44,928","2022-06-17 09:08:45,241","rht-007","2022-06-17 09:08:45,378","2022-06-17 09:08:45,844","rhm-001","2022-06-17 09:08:46,738","2022-06-17 09:08:47,192"
"productHolon[1442]",37,"2022-06-17 09:08:45,151","2022-06-17 09:08:46,220","serv1","transport",false,"2022-06-17 09:08:45,499","2022-06-17 09:08:46,425","rht-002","2022-06-17 09:08:46,941","2022-06-17 09:08:46,973","rhm-010","2022-06-17 09:08:47,648","2022-06-17 09:08:48,087"
"productHolon[258]",35,"2022-06-17 09:08:44,929","2022-06-17 09:08:46,867","serv1","transport",false,"2022-06-17 09:08:46,218","2022-06-17 09:08:46,976","rht-009","2022-06-17 09:08:47,146","2022-06-17 09:08:47,515","rhm-007","2022-06-17 09:08:48,151","2022-06-17 09:08:48,229"
"productHolon[754]",32,"2022-06-17 09:08:44,889","2022-06-17 09:08:47,328","serv1","transport",false,"2022-06-17 09:08:46,480","2022-06-17 09:08:47,388","rht-010","2022-06-17 09:08:47,550","2022-06-17 09:08:47,791","rhm-009","2022-06-17 09:08:48,150","2022-06-17 09:08:48,229"
"productHolon[568]",64,"2022-06-17 09:08:46,666","2022-06-17 09:08:48,513","serv1","transport",false,"2022-06-17 09:08:47,945","2022-06-17 09:08:48,517","rht-002","2022-06-17 09:08:48,722","2022-06-17 09:08:48,751","rhm-001","2022-06-17 09:08:49,241","2022-06-17 09:08:49,514"
"productHolon[115]",3,"2022-06-17 09:08:42,391","2022-06-17 09:08:48,773","serv1","transport",false,"2022-06-17 09:08:44,426","2022-06-17 09:08:48,776","rht-008","2022-06-17 09:08:48,843","2022-06-17 09:08:49,034","rhm-004","2022-06-17 09:08:49,241","2022-06-17 09:08:49,548"
