"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[935]",26,"2022-06-17 10:17:38,183","2022-06-17 10:17:38,400","serv1","transport",false,"2022-06-17 10:17:38,292","2022-06-17 10:17:38,420","rht-008","2022-06-17 10:17:38,503","2022-06-17 10:17:38,629","rhm-002","2022-06-17 10:17:38,966","2022-06-17 10:17:39,199"
"productHolon[6]",8,"2022-06-17 10:17:35,968","2022-06-17 10:17:39,370","serv1","transport",false,"2022-06-17 10:17:37,687","2022-06-17 10:17:39,464","rht-009","2022-06-17 10:17:39,741","2022-06-17 10:17:39,847","rhm-005","2022-06-17 10:17:40,282","2022-06-17 10:17:40,324"
"productHolon[115]",2,"2022-06-17 10:17:35,676","2022-06-17 10:17:39,873","serv1","transport",false,"2022-06-17 10:17:38,395","2022-06-17 10:17:39,884","rht-005","2022-06-17 10:17:40,122","2022-06-17 10:17:40,403","rhm-009","2022-06-17 10:17:40,891","2022-06-17 10:17:41,073"
"productHolon[56]",17,"2022-06-17 10:17:37,410","2022-06-17 10:17:40,418","serv1","transport",false,"2022-06-17 10:17:39,253","2022-06-17 10:17:40,426","rht-003","2022-06-17 10:17:40,782","2022-06-17 10:17:40,813","rhm-007","2022-06-17 10:17:41,240","2022-06-17 10:17:41,394"
"productHolon[647]",29,"2022-06-17 10:17:38,418","2022-06-17 10:17:41,476","serv1","transport",false,"2022-06-17 10:17:38,704","2022-06-17 10:17:41,479","rht-006","2022-06-17 10:17:41,646","2022-06-17 10:17:41,751","rhm-008","2022-06-17 10:17:41,847","2022-06-17 10:17:42,071"
"productHolon[387]",25,"2022-06-17 10:17:38,149","2022-06-17 10:17:41,673","serv1","transport",false,"2022-06-17 10:17:41,470","2022-06-17 10:17:41,679","rht-005","2022-06-17 10:17:41,819","2022-06-17 10:17:41,847","rhm-007","2022-06-17 10:17:42,180","2022-06-17 10:17:42,405"
"productHolon[104]",6,"2022-06-17 10:17:35,791","2022-06-17 10:17:41,797","serv1","transport",false,"2022-06-17 10:17:41,126","2022-06-17 10:17:41,803","rht-007","2022-06-17 10:17:41,980","2022-06-17 10:17:42,128","rhm-009","2022-06-17 10:17:42,378","2022-06-17 10:17:42,643"
"productHolon[647]",191,"2022-06-17 10:17:42,445","2022-06-17 10:17:42,755","serv2","transport",false,"2022-06-17 10:17:42,447","2022-06-17 10:17:42,761","rht-002","2022-06-17 10:17:42,909","2022-06-17 10:17:42,938","rhm-005","2022-06-17 10:17:43,227","2022-06-17 10:17:43,403"
"productHolon[14]",27,"2022-06-17 10:17:38,351","2022-06-17 10:17:43,184","serv1","transport",false,"2022-06-17 10:17:39,551","2022-06-17 10:17:43,191","rht-004","2022-06-17 10:17:43,346","2022-06-17 10:17:43,587","rhm-004","2022-06-17 10:17:43,969","2022-06-17 10:17:44,207"
"productHolon[2025]",76,"2022-06-17 10:17:39,842","2022-06-17 10:17:42,875","serv1","transport",false,"2022-06-17 10:17:42,635","2022-06-17 10:17:42,885","rht-001","2022-06-17 10:17:42,942","2022-06-17 10:17:43,370","rhm-007","2022-06-17 10:17:43,970","2022-06-17 10:17:44,208"
"productHolon[471]",38,"2022-06-17 10:17:38,668","2022-06-17 10:17:43,079","serv1","transport",false,"2022-06-17 10:17:40,517","2022-06-17 10:17:43,081","rht-009","2022-06-17 10:17:43,130","2022-06-17 10:17:43,370","rhm-005","2022-06-17 10:17:44,077","2022-06-17 10:17:44,397"
"productHolon[229]",28,"2022-06-17 10:17:38,384","2022-06-17 10:17:43,342","serv1","transport",false,"2022-06-17 10:17:39,676","2022-06-17 10:17:43,371","rht-010","2022-06-17 10:17:43,718","2022-06-17 10:17:43,846","rhm-002","2022-06-17 10:17:44,272","2022-06-17 10:17:44,806"
"productHolon[43]",32,"2022-06-17 10:17:38,550","2022-06-17 10:17:43,154","serv1","transport",false,"2022-06-17 10:17:38,774","2022-06-17 10:17:43,157","rht-007","2022-06-17 10:17:43,225","2022-06-17 10:17:43,588","rhm-003","2022-06-17 10:17:44,272","2022-06-17 10:17:44,806"
"productHolon[6]",262,"2022-06-17 10:17:43,276","2022-06-17 10:17:43,653","serv2","transport",false,"2022-06-17 10:17:43,282","2022-06-17 10:17:43,709","rht-006","2022-06-17 10:17:43,781","2022-06-17 10:17:44,242","rhm-006","2022-06-17 10:17:44,612","2022-06-17 10:17:44,889"
"productHolon[1318]",46,"2022-06-17 10:17:39,097","2022-06-17 10:17:43,559","serv1","transport",false,"2022-06-17 10:17:39,212","2022-06-17 10:17:43,776","rht-002","2022-06-17 10:17:44,115","2022-06-17 10:17:44,241","rhm-001","2022-06-17 10:17:44,964","2022-06-17 10:17:45,362"
"productHolon[387]",268,"2022-06-17 10:17:43,434","2022-06-17 10:17:43,555","serv2","transport",false,"2022-06-17 10:17:43,439","2022-06-17 10:17:43,557","rht-005","2022-06-17 10:17:43,780","2022-06-17 10:17:44,242","rhm-008","2022-06-17 10:17:45,092","2022-06-17 10:17:45,668"
"productHolon[104]",279,"2022-06-17 10:17:43,851","2022-06-17 10:17:44,384","serv2","transport",false,"2022-06-17 10:17:43,886","2022-06-17 10:17:44,386","rht-003","2022-06-17 10:17:44,447","2022-06-17 10:17:45,272","rhm-004","2022-06-17 10:17:45,666","2022-06-17 10:17:45,857"
"productHolon[874]",39,"2022-06-17 10:17:38,693","2022-06-17 10:17:44,605","serv1","transport",false,"2022-06-17 10:17:38,829","2022-06-17 10:17:44,722","rht-008","2022-06-17 10:17:45,331","2022-06-17 10:17:45,508","rhm-006","2022-06-17 10:17:45,792","2022-06-17 10:17:46,160"
