"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[942]",23,"2022-06-16 19:44:36,531","2022-06-16 19:44:37,181","serv1","transport",false,"2022-06-16 19:44:37,051","2022-06-16 19:44:37,226","rht-006","2022-06-16 19:44:37,580","2022-06-16 19:44:37,841","rhm-018","2022-06-16 19:44:38,151","2022-06-16 19:44:38,589"
"productHolon[494]",12,"2022-06-16 19:44:35,698","2022-06-16 19:44:37,415","serv1","transport",false,"2022-06-16 19:44:37,230","2022-06-16 19:44:37,559","rht-002","2022-06-16 19:44:37,779","2022-06-16 19:44:37,924","rhm-015","2022-06-16 19:44:38,151","2022-06-16 19:44:38,590"
"productHolon[799]",25,"2022-06-16 19:44:36,724","2022-06-16 19:44:37,125","serv1","transport",false,"2022-06-16 19:44:36,726","2022-06-16 19:44:37,223","rht-001","2022-06-16 19:44:37,581","2022-06-16 19:44:38,019","rhm-011","2022-06-16 19:44:38,773","2022-06-16 19:44:38,825"
"productHolon[873]",22,"2022-06-16 19:44:36,480","2022-06-16 19:44:38,036","serv1","transport",false,"2022-06-16 19:44:37,595","2022-06-16 19:44:38,113","rht-008","2022-06-16 19:44:38,230","2022-06-16 19:44:38,658","rhm-020","2022-06-16 19:44:39,182","2022-06-16 19:44:39,386"
"productHolon[750]",19,"2022-06-16 19:44:36,249","2022-06-16 19:44:38,305","serv1","transport",false,"2022-06-16 19:44:38,219","2022-06-16 19:44:38,364","rht-007","2022-06-16 19:44:38,587","2022-06-16 19:44:38,660","rhm-006","2022-06-16 19:44:39,181","2022-06-16 19:44:39,566"
"productHolon[84]",7,"2022-06-16 19:44:34,687","2022-06-16 19:44:38,407","serv1","transport",false,"2022-06-16 19:44:37,807","2022-06-16 19:44:38,536","rht-010","2022-06-16 19:44:38,880","2022-06-16 19:44:39,027","rhm-007","2022-06-16 19:44:39,602","2022-06-16 19:44:40,039"
"productHolon[1273]",29,"2022-06-16 19:44:37,304","2022-06-16 19:44:38,810","serv1","transport",false,"2022-06-16 19:44:37,936","2022-06-16 19:44:38,823","rht-006","2022-06-16 19:44:39,444","2022-06-16 19:44:39,875","rhm-009","2022-06-16 19:44:40,447","2022-06-16 19:44:40,941"
"productHolon[285]",11,"2022-06-16 19:44:35,157","2022-06-16 19:44:38,772","serv1","transport",false,"2022-06-16 19:44:37,777","2022-06-16 19:44:39,154","rht-001","2022-06-16 19:44:39,445","2022-06-16 19:44:39,875","rhm-002","2022-06-16 19:44:40,565","2022-06-16 19:44:41,057"
"productHolon[203]",8,"2022-06-16 19:44:34,689","2022-06-16 19:44:39,352","serv1","transport",false,"2022-06-16 19:44:39,055","2022-06-16 19:44:39,458","rht-008","2022-06-16 19:44:39,788","2022-06-16 19:44:40,391","rhm-016","2022-06-16 19:44:41,166","2022-06-16 19:44:41,571"
"productHolon[6]",1,"2022-06-16 19:44:33,779","2022-06-16 19:44:38,956","serv1","transport",false,"2022-06-16 19:44:38,278","2022-06-16 19:44:39,194","rht-009","2022-06-16 19:44:39,445","2022-06-16 19:44:39,875","rhm-019","2022-06-16 19:44:40,447","2022-06-16 19:44:41,571"
"productHolon[448]",13,"2022-06-16 19:44:35,702","2022-06-16 19:44:39,183","serv1","transport",false,"2022-06-16 19:44:38,617","2022-06-16 19:44:39,467","rht-004","2022-06-16 19:44:40,037","2022-06-16 19:44:40,248","rhm-001","2022-06-16 19:44:40,984","2022-06-16 19:44:41,813"
"productHolon[1304]",39,"2022-06-16 19:44:37,911","2022-06-16 19:44:40,045","serv1","transport",false,"2022-06-16 19:44:39,471","2022-06-16 19:44:40,276","rht-002","2022-06-16 19:44:40,640","2022-06-16 19:44:41,242","rhm-012","2022-06-16 19:44:41,782","2022-06-16 19:44:42,111"
