"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[397]",4,"2022-06-17 07:57:56,569","2022-06-17 07:57:57,166","serv2","transport",false,"2022-06-17 07:57:56,755","2022-06-17 07:57:57,206","rht-005","2022-06-17 07:57:57,429","2022-06-17 07:57:57,707","rhm-006","2022-06-17 07:57:58,112","2022-06-17 07:57:58,447"
"productHolon[136]",2,"2022-06-17 07:57:55,055","2022-06-17 07:57:57,223","serv2","transport",false,"2022-06-17 07:57:56,513","2022-06-17 07:57:57,267","rht-003","2022-06-17 07:57:57,482","2022-06-17 07:57:57,776","rhm-004","2022-06-17 07:57:58,458","2022-06-17 07:57:58,489"
"productHolon[770]",15,"2022-06-17 07:57:57,055","2022-06-17 07:57:57,631","serv2","transport",false,"2022-06-17 07:57:57,121","2022-06-17 07:57:57,705","rht-002","2022-06-17 07:57:57,973","2022-06-17 07:57:58,166","rhm-009","2022-06-17 07:57:58,811","2022-06-17 07:57:58,840"
"productHolon[712]",14,"2022-06-17 07:57:57,026","2022-06-17 07:57:58,093","serv2","transport",false,"2022-06-17 07:57:57,047","2022-06-17 07:57:58,108","rht-005","2022-06-17 07:57:58,755","2022-06-17 07:57:58,882","rhm-007","2022-06-17 07:57:59,179","2022-06-17 07:57:59,324"
"productHolon[750]",21,"2022-06-17 07:57:57,091","2022-06-17 07:57:57,626","serv2","transport",false,"2022-06-17 07:57:57,341","2022-06-17 07:57:57,634","rht-001","2022-06-17 07:57:57,971","2022-06-17 07:57:58,852","rhm-003","2022-06-17 07:57:59,180","2022-06-17 07:57:59,325"
"productHolon[830]",26,"2022-06-17 07:57:57,160","2022-06-17 07:57:59,461","serv2","transport",false,"2022-06-17 07:57:57,263","2022-06-17 07:57:59,489","rht-004","2022-06-17 07:57:59,739","2022-06-17 07:57:59,973","rhm-002","2022-06-17 07:58:00,432","2022-06-17 07:58:00,680"
"productHolon[1174]",42,"2022-06-17 07:57:58,253","2022-06-17 07:57:59,357","serv2","transport",false,"2022-06-17 07:57:58,687","2022-06-17 07:57:59,360","rht-003","2022-06-17 07:57:59,446","2022-06-17 07:57:59,624","rhm-006","2022-06-17 07:58:00,028","2022-06-17 07:58:00,681"
"productHolon[815]",20,"2022-06-17 07:57:57,089","2022-06-17 07:57:59,367","serv2","transport",false,"2022-06-17 07:57:57,335","2022-06-17 07:57:59,379","rht-002","2022-06-17 07:57:59,738","2022-06-17 07:58:00,026","rhm-005","2022-06-17 07:58:00,622","2022-06-17 07:58:00,994"
"productHolon[849]",23,"2022-06-17 07:57:57,116","2022-06-17 07:57:59,975","serv2","transport",false,"2022-06-17 07:57:57,221","2022-06-17 07:58:00,014","rht-003","2022-06-17 07:58:00,205","2022-06-17 07:58:00,620","rhm-010","2022-06-17 07:58:01,479","2022-06-17 07:58:01,675"
"productHolon[701]",34,"2022-06-17 07:57:57,743","2022-06-17 07:57:59,741","serv2","transport",false,"2022-06-17 07:57:57,757","2022-06-17 07:57:59,875","rht-001","2022-06-17 07:57:59,959","2022-06-17 07:58:00,430","rhm-004","2022-06-17 07:58:01,479","2022-06-17 07:58:02,023"
"productHolon[891]",43,"2022-06-17 07:57:58,255","2022-06-17 07:57:59,743","serv2","transport",false,"2022-06-17 07:57:59,703","2022-06-17 07:57:59,863","rht-005","2022-06-17 07:58:00,026","2022-06-17 07:58:00,430","rhm-007","2022-06-17 07:58:01,480","2022-06-17 07:58:02,168"
"productHolon[865]",62,"2022-06-17 07:57:59,044","2022-06-17 07:58:00,334","serv2","transport",false,"2022-06-17 07:57:59,601","2022-06-17 07:58:00,577","rht-004","2022-06-17 07:58:00,856","2022-06-17 07:58:01,484","rhm-003","2022-06-17 07:58:02,087","2022-06-17 07:58:02,357"
"productHolon[712]",94,"2022-06-17 07:58:00,056","2022-06-17 07:58:01,365","serv2","transport",false,"2022-06-17 07:58:01,210","2022-06-17 07:58:01,676","rht-005","2022-06-17 07:58:02,065","2022-06-17 07:58:02,557","rhm-006","2022-06-17 07:58:03,051","2022-06-17 07:58:03,246"
"productHolon[434]",5,"2022-06-17 07:57:56,699","2022-06-17 07:58:00,215","serv2","transport",false,"2022-06-17 07:57:56,752","2022-06-17 07:58:00,478","rht-002","2022-06-17 07:58:02,064","2022-06-17 07:58:02,491","rhm-008","2022-06-17 07:58:03,051","2022-06-17 07:58:03,247"
"productHolon[1458]",64,"2022-06-17 07:57:59,053","2022-06-17 07:58:00,109","serv2","transport",false,"2022-06-17 07:57:59,246","2022-06-17 07:58:01,088","rht-001","2022-06-17 07:58:02,195","2022-06-17 07:58:02,725","rhm-009","2022-06-17 07:58:03,238","2022-06-17 07:58:03,585"
"productHolon[521]",7,"2022-06-17 07:57:56,733","2022-06-17 07:58:00,067","serv2","transport",false,"2022-06-17 07:57:56,755","2022-06-17 07:58:01,045","rht-003","2022-06-17 07:58:01,678","2022-06-17 07:58:02,491","rhm-001","2022-06-17 07:58:03,051","2022-06-17 07:58:03,586"
"productHolon[1084]",88,"2022-06-17 07:57:59,822","2022-06-17 07:58:02,026","serv2","transport",false,"2022-06-17 07:58:01,867","2022-06-17 07:58:02,075","rht-004","2022-06-17 07:58:02,363","2022-06-17 07:58:03,085","rhm-005","2022-06-17 07:58:04,175","2022-06-17 07:58:04,208"
"productHolon[298]",24,"2022-06-17 07:57:57,126","2022-06-17 07:58:03,162","serv2","transport",false,"2022-06-17 07:57:57,342","2022-06-17 07:58:03,241","rht-003","2022-06-17 07:58:03,397","2022-06-17 07:58:03,728","rhm-004","2022-06-17 07:58:04,566","2022-06-17 07:58:04,667"
"productHolon[788]",58,"2022-06-17 07:57:58,709","2022-06-17 07:58:01,830","serv2","transport",false,"2022-06-17 07:58:01,501","2022-06-17 07:58:02,911","rht-002","2022-06-17 07:58:03,397","2022-06-17 07:58:03,888","rhm-002","2022-06-17 07:58:04,596","2022-06-17 07:58:04,904"
"productHolon[543]",8,"2022-06-17 07:57:56,908","2022-06-17 07:58:02,719","serv2","transport",false,"2022-06-17 07:57:56,951","2022-06-17 07:58:03,052","rht-005","2022-06-17 07:58:03,397","2022-06-17 07:58:04,031","rhm-010","2022-06-17 07:58:04,739","2022-06-17 07:58:05,576"
"productHolon[1162]",79,"2022-06-17 07:57:59,499","2022-06-17 07:58:03,311","serv2","transport",false,"2022-06-17 07:58:03,236","2022-06-17 07:58:03,514","rht-001","2022-06-17 07:58:04,596","2022-06-17 07:58:04,668","rhm-003","2022-06-17 07:58:05,117","2022-06-17 07:58:05,892"
"productHolon[795]",25,"2022-06-17 07:57:57,152","2022-06-17 07:58:03,168","serv2","transport",false,"2022-06-17 07:57:57,367","2022-06-17 07:58:03,714","rht-004","2022-06-17 07:58:04,926","2022-06-17 07:58:05,224","rhm-007","2022-06-17 07:58:05,485","2022-06-17 07:58:05,893"
"productHolon[521]",115,"2022-06-17 07:58:04,057","2022-06-17 07:58:04,594","serv2","transport",false,"2022-06-17 07:58:04,428","2022-06-17 07:58:04,815","rht-005","2022-06-17 07:58:05,118","2022-06-17 07:58:05,553","rhm-009","2022-06-17 07:58:05,964","2022-06-17 07:58:06,273"
"productHolon[1213]",75,"2022-06-17 07:57:59,347","2022-06-17 07:58:04,239","serv2","transport",false,"2022-06-17 07:58:04,046","2022-06-17 07:58:04,629","rht-002","2022-06-17 07:58:04,926","2022-06-17 07:58:05,552","rhm-006","2022-06-17 07:58:06,079","2022-06-17 07:58:06,388"
"productHolon[378]",9,"2022-06-17 07:57:56,954","2022-06-17 07:58:04,267","serv2","transport",false,"2022-06-17 07:57:57,002","2022-06-17 07:58:04,905","rht-003","2022-06-17 07:58:05,338","2022-06-17 07:58:05,676","rhm-001","2022-06-17 07:58:06,270","2022-06-17 07:58:07,297"
"productHolon[1247]",55,"2022-06-17 07:57:58,650","2022-06-17 07:58:05,305","serv2","transport",false,"2022-06-17 07:58:04,912","2022-06-17 07:58:05,969","rht-005","2022-06-17 07:58:06,538","2022-06-17 07:58:06,571","rhm-005","2022-06-17 07:58:07,300","2022-06-17 07:58:07,707"
"productHolon[770]",83,"2022-06-17 07:57:59,622","2022-06-17 07:58:04,311","serv2","transport",false,"2022-06-17 07:58:03,983","2022-06-17 07:58:05,181","rht-001","2022-06-17 07:58:06,174","2022-06-17 07:58:06,796","rhm-008","2022-06-17 07:58:07,822","2022-06-17 07:58:07,914"
"productHolon[1156]",63,"2022-06-17 07:57:59,051","2022-06-17 07:58:05,667","serv2","transport",false,"2022-06-17 07:58:05,568","2022-06-17 07:58:06,490","rht-003","2022-06-17 07:58:06,825","2022-06-17 07:58:07,188","rhm-002","2022-06-17 07:58:07,919","2022-06-17 07:58:07,949"
"productHolon[253]",29,"2022-06-17 07:57:57,238","2022-06-17 07:58:05,453","serv2","transport",false,"2022-06-17 07:57:57,362","2022-06-17 07:58:05,489","rht-004","2022-06-17 07:58:06,174","2022-06-17 07:58:06,491","rhm-004","2022-06-17 07:58:07,676","2022-06-17 07:58:08,112"
"productHolon[1323]",100,"2022-06-17 07:58:00,312","2022-06-17 07:58:05,875","serv2","transport",false,"2022-06-17 07:58:05,777","2022-06-17 07:58:06,569","rht-002","2022-06-17 07:58:06,825","2022-06-17 07:58:07,135","rhm-010","2022-06-17 07:58:08,029","2022-06-17 07:58:08,766"
"productHolon[1337]",53,"2022-06-17 07:57:58,612","2022-06-17 07:58:06,958","serv2","transport",false,"2022-06-17 07:58:06,795","2022-06-17 07:58:07,137","rht-004","2022-06-17 07:58:07,473","2022-06-17 07:58:08,425","rhm-003","2022-06-17 07:58:08,683","2022-06-17 07:58:08,766"
"productHolon[815]",108,"2022-06-17 07:58:01,936","2022-06-17 07:58:06,763","serv2","transport",false,"2022-06-17 07:58:06,612","2022-06-17 07:58:07,645","rht-003","2022-06-17 07:58:08,093","2022-06-17 07:58:08,687","rhm-009","2022-06-17 07:58:08,988","2022-06-17 07:58:09,383"
"productHolon[136]",87,"2022-06-17 07:57:59,817","2022-06-17 07:58:06,583","serv2","transport",false,"2022-06-17 07:58:06,533","2022-06-17 07:58:07,438","rht-005","2022-06-17 07:58:07,708","2022-06-17 07:58:08,424","rhm-007","2022-06-17 07:58:08,988","2022-06-17 07:58:09,384"
