"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[35]",8,"2022-06-17 11:28:28,991","2022-06-17 11:28:31,397","serv1","transport",false,"2022-06-17 11:28:31,349","2022-06-17 11:28:31,426","rht-008","2022-06-17 11:28:31,574","2022-06-17 11:28:31,927","rhm-006","2022-06-17 11:28:32,141","2022-06-17 11:28:32,451"
"productHolon[230]",10,"2022-06-17 11:28:29,432","2022-06-17 11:28:31,289","serv1","transport",false,"2022-06-17 11:28:30,101","2022-06-17 11:28:31,331","rht-003","2022-06-17 11:28:31,576","2022-06-17 11:28:31,928","rhm-008","2022-06-17 11:28:32,142","2022-06-17 11:28:32,452"
"productHolon[85]",2,"2022-06-17 11:28:28,066","2022-06-17 11:28:32,719","serv1","transport",false,"2022-06-17 11:28:31,641","2022-06-17 11:28:32,759","rht-005","2022-06-17 11:28:32,929","2022-06-17 11:28:33,220","rhm-002","2022-06-17 11:28:33,307","2022-06-17 11:28:33,427"
"productHolon[788]",19,"2022-06-17 11:28:30,802","2022-06-17 11:28:33,658","serv1","transport",false,"2022-06-17 11:28:31,923","2022-06-17 11:28:33,664","rht-007","2022-06-17 11:28:34,180","2022-06-17 11:28:34,253","rhm-004","2022-06-17 11:28:34,563","2022-06-17 11:28:34,822"
"productHolon[722]",60,"2022-06-17 11:28:32,550","2022-06-17 11:28:33,890","serv1","transport",false,"2022-06-17 11:28:32,926","2022-06-17 11:28:33,975","rht-004","2022-06-17 11:28:34,404","2022-06-17 11:28:34,529","rhm-006","2022-06-17 11:28:35,577","2022-06-17 11:28:35,616"
"productHolon[56]",1,"2022-06-17 11:28:27,633","2022-06-17 11:28:34,244","serv1","transport",false,"2022-06-17 11:28:31,932","2022-06-17 11:28:34,257","rht-006","2022-06-17 11:28:34,404","2022-06-17 11:28:34,781","rhm-007","2022-06-17 11:28:35,528","2022-06-17 11:28:35,616"
"productHolon[175]",37,"2022-06-17 11:28:31,639","2022-06-17 11:28:34,314","serv1","transport",false,"2022-06-17 11:28:31,786","2022-06-17 11:28:34,335","rht-009","2022-06-17 11:28:34,589","2022-06-17 11:28:34,781","rhm-005","2022-06-17 11:28:35,641","2022-06-17 11:28:35,716"
"productHolon[489]",22,"2022-06-17 11:28:30,952","2022-06-17 11:28:34,246","serv1","transport",false,"2022-06-17 11:28:31,454","2022-06-17 11:28:34,252","rht-001","2022-06-17 11:28:34,499","2022-06-17 11:28:34,943","rhm-003","2022-06-17 11:28:35,858","2022-06-17 11:28:36,047"
"productHolon[85]",105,"2022-06-17 11:28:34,018","2022-06-17 11:28:34,903","serv2","transport",false,"2022-06-17 11:28:34,057","2022-06-17 11:28:34,931","rht-007","2022-06-17 11:28:35,119","2022-06-17 11:28:35,700","rhm-004","2022-06-17 11:28:35,858","2022-06-17 11:28:36,173"
"productHolon[371]",18,"2022-06-17 11:28:30,778","2022-06-17 11:28:36,459","serv1","transport",false,"2022-06-17 11:28:32,976","2022-06-17 11:28:36,462","rht-002","2022-06-17 11:28:36,518","2022-06-17 11:28:36,720","rhm-008","2022-06-17 11:28:36,965","2022-06-17 11:28:37,223"
"productHolon[788]",141,"2022-06-17 11:28:34,932","2022-06-17 11:28:36,790","serv2","transport",false,"2022-06-17 11:28:34,934","2022-06-17 11:28:36,791","rht-006","2022-06-17 11:28:36,942","2022-06-17 11:28:37,081","rhm-008","2022-06-17 11:28:37,447","2022-06-17 11:28:37,678"
"productHolon[151]",7,"2022-06-17 11:28:28,892","2022-06-17 11:28:37,055","serv1","transport",false,"2022-06-17 11:28:31,150","2022-06-17 11:28:37,069","rht-007","2022-06-17 11:28:37,187","2022-06-17 11:28:37,335","rhm-010","2022-06-17 11:28:37,473","2022-06-17 11:28:37,678"
"productHolon[2246]",98,"2022-06-17 11:28:33,877","2022-06-17 11:28:37,415","serv1","transport",false,"2022-06-17 11:28:36,179","2022-06-17 11:28:37,443","rht-008","2022-06-17 11:28:37,598","2022-06-17 11:28:37,912","rhm-007","2022-06-17 11:28:38,121","2022-06-17 11:28:38,158"
"productHolon[2670]",132,"2022-06-17 11:28:34,770","2022-06-17 11:28:37,169","serv1","transport",false,"2022-06-17 11:28:36,305","2022-06-17 11:28:37,180","rht-003","2022-06-17 11:28:37,187","2022-06-17 11:28:37,401","rhm-003","2022-06-17 11:28:37,650","2022-06-17 11:28:38,158"
"productHolon[308]",16,"2022-06-17 11:28:30,616","2022-06-17 11:28:37,853","serv1","transport",false,"2022-06-17 11:28:30,652","2022-06-17 11:28:37,897","rht-003","2022-06-17 11:28:38,152","2022-06-17 11:28:38,482","rhm-009","2022-06-17 11:28:38,920","2022-06-17 11:28:39,153"
"productHolon[522]",48,"2022-06-17 11:28:31,878","2022-06-17 11:28:37,975","serv1","transport",false,"2022-06-17 11:28:36,175","2022-06-17 11:28:37,987","rht-007","2022-06-17 11:28:38,243","2022-06-17 11:28:38,482","rhm-005","2022-06-17 11:28:38,919","2022-06-17 11:28:39,324"
"productHolon[2586]",95,"2022-06-17 11:28:33,760","2022-06-17 11:28:37,938","serv1","transport",false,"2022-06-17 11:28:33,985","2022-06-17 11:28:37,940","rht-010","2022-06-17 11:28:38,152","2022-06-17 11:28:38,483","rhm-002","2022-06-17 11:28:38,919","2022-06-17 11:28:39,325"
"productHolon[2198]",215,"2022-06-17 11:28:36,763","2022-06-17 11:28:38,570","serv1","transport",false,"2022-06-17 11:28:38,416","2022-06-17 11:28:38,615","rht-008","2022-06-17 11:28:38,770","2022-06-17 11:28:39,054","rhm-003","2022-06-17 11:28:39,323","2022-06-17 11:28:39,838"
"productHolon[230]",200,"2022-06-17 11:28:36,645","2022-06-17 11:28:38,418","serv2","transport",false,"2022-06-17 11:28:36,654","2022-06-17 11:28:38,486","rht-004","2022-06-17 11:28:38,755","2022-06-17 11:28:38,848","rhm-007","2022-06-17 11:28:39,355","2022-06-17 11:28:39,839"
"productHolon[2779]",166,"2022-06-17 11:28:36,064","2022-06-17 11:28:38,554","serv1","transport",false,"2022-06-17 11:28:37,319","2022-06-17 11:28:38,617","rht-009","2022-06-17 11:28:38,756","2022-06-17 11:28:39,116","rhm-008","2022-06-17 11:28:39,533","2022-06-17 11:28:40,030"
"productHolon[1525]",39,"2022-06-17 11:28:31,665","2022-06-17 11:28:38,878","serv1","transport",false,"2022-06-17 11:28:32,258","2022-06-17 11:28:38,905","rht-006","2022-06-17 11:28:39,049","2022-06-17 11:28:39,354","rhm-001","2022-06-17 11:28:39,919","2022-06-17 11:28:40,368"
"productHolon[587]",53,"2022-06-17 11:28:32,228","2022-06-17 11:28:39,766","serv1","transport",false,"2022-06-17 11:28:37,909","2022-06-17 11:28:39,772","rht-007","2022-06-17 11:28:39,964","2022-06-17 11:28:40,333","rhm-010","2022-06-17 11:28:40,664","2022-06-17 11:28:41,204"
