"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[7]",2,"2022-06-17 09:03:08,062","2022-06-17 09:03:09,610","serv1","transport",false,"2022-06-17 09:03:09,449","2022-06-17 09:03:09,614","rht-010","2022-06-17 09:03:10,579","2022-06-17 09:03:10,677","rhm-010","2022-06-17 09:03:10,982","2022-06-17 09:03:11,131"
"productHolon[5]",3,"2022-06-17 09:03:08,313","2022-06-17 09:03:09,617","serv1","transport",false,"2022-06-17 09:03:09,372","2022-06-17 09:03:10,496","rht-005","2022-06-17 09:03:10,579","2022-06-17 09:03:11,093","rhm-008","2022-06-17 09:03:11,285","2022-06-17 09:03:11,601"
"productHolon[26]",1,"2022-06-17 09:03:07,957","2022-06-17 09:03:10,331","serv1","transport",false,"2022-06-17 09:03:09,511","2022-06-17 09:03:10,495","rht-007","2022-06-17 09:03:10,733","2022-06-17 09:03:11,098","rhm-005","2022-06-17 09:03:11,564","2022-06-17 09:03:11,695"
"productHolon[7]",4,"2022-06-17 09:03:11,227","2022-06-17 09:03:11,300","serv1","transport",false,"2022-06-17 09:03:11,251","2022-06-17 09:03:11,303","rht-003","2022-06-17 09:03:11,539","2022-06-17 09:03:11,690","rhm-006","2022-06-17 09:03:12,085","2022-06-17 09:03:12,118"
"productHolon[26]",6,"2022-06-17 09:03:11,867","2022-06-17 09:03:11,972","serv2","transport",false,"2022-06-17 09:03:11,919","2022-06-17 09:03:12,002","rht-007","2022-06-17 09:03:12,124","2022-06-17 09:03:12,196","rhm-007","2022-06-17 09:03:12,339","2022-06-17 09:03:12,713"
"productHolon[5]",5,"2022-06-17 09:03:11,781","2022-06-17 09:03:11,794","serv2","transport",false,"2022-06-17 09:03:11,791","2022-06-17 09:03:11,799","rht-004","2022-06-17 09:03:11,921","2022-06-17 09:03:12,231","rhm-009","2022-06-17 09:03:12,638","2022-06-17 09:03:12,859"
"productHolon[7]",7,"2022-06-17 09:03:12,280","2022-06-17 09:03:12,294","serv1","transport",false,"2022-06-17 09:03:12,288","2022-06-17 09:03:12,298","rht-006","2022-06-17 09:03:12,643","2022-06-17 09:03:12,795","rhm-008","2022-06-17 09:03:12,982","2022-06-17 09:03:13,208"
"productHolon[26]",8,"2022-06-17 09:03:12,757","2022-06-17 09:03:12,848","serv1","transport",false,"2022-06-17 09:03:12,844","2022-06-17 09:03:12,861","rht-003","2022-06-17 09:03:12,943","2022-06-17 09:03:13,253","rhm-005","2022-06-17 09:03:13,332","2022-06-17 09:03:13,459"
"productHolon[5]",9,"2022-06-17 09:03:12,865","2022-06-17 09:03:12,974","serv3","transport",false,"2022-06-17 09:03:12,884","2022-06-17 09:03:12,979","rht-009","2022-06-17 09:03:13,146","2022-06-17 09:03:13,253","rhm-004","2022-06-17 09:03:13,492","2022-06-17 09:03:13,871"
"productHolon[7]",10,"2022-06-17 09:03:13,370","2022-06-17 09:03:13,410","serv2","transport",false,"2022-06-17 09:03:13,397","2022-06-17 09:03:13,415","rht-010","2022-06-17 09:03:13,781","2022-06-17 09:03:13,933","rhm-005","2022-06-17 09:03:14,117","2022-06-17 09:03:14,182"
