"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[29]",12,"2022-06-16 19:51:18,489","2022-06-16 19:51:19,307","serv2","transport",false,"2022-06-16 19:51:19,220","2022-06-16 19:51:19,400","rht-006","2022-06-16 19:51:20,542","2022-06-16 19:51:21,044","rhm-012","2022-06-16 19:51:21,344","2022-06-16 19:51:21,427"
"productHolon[914]",22,"2022-06-16 19:51:20,133","2022-06-16 19:51:20,618","serv2","transport",false,"2022-06-16 19:51:20,470","2022-06-16 19:51:20,746","rht-003","2022-06-16 19:51:21,173","2022-06-16 19:51:21,212","rhm-015","2022-06-16 19:51:21,824","2022-06-16 19:51:21,860"
"productHolon[970]",21,"2022-06-16 19:51:20,031","2022-06-16 19:51:20,999","serv2","transport",false,"2022-06-16 19:51:20,288","2022-06-16 19:51:21,005","rht-008","2022-06-16 19:51:21,267","2022-06-16 19:51:21,743","rhm-014","2022-06-16 19:51:21,854","2022-06-16 19:51:22,677"
"productHolon[208]",6,"2022-06-16 19:51:17,372","2022-06-16 19:51:21,539","serv2","transport",false,"2022-06-16 19:51:21,300","2022-06-16 19:51:21,542","rht-006","2022-06-16 19:51:21,627","2022-06-16 19:51:21,988","rhm-020","2022-06-16 19:51:22,590","2022-06-16 19:51:22,677"
"productHolon[20]",2,"2022-06-16 19:51:16,873","2022-06-16 19:51:21,213","serv2","transport",false,"2022-06-16 19:51:20,991","2022-06-16 19:51:21,224","rht-005","2022-06-16 19:51:21,553","2022-06-16 19:51:21,988","rhm-019","2022-06-16 19:51:22,590","2022-06-16 19:51:22,750"
"productHolon[958]",32,"2022-06-16 19:51:21,119","2022-06-16 19:51:21,588","serv2","transport",false,"2022-06-16 19:51:21,229","2022-06-16 19:51:21,672","rht-009","2022-06-16 19:51:21,997","2022-06-16 19:51:22,148","rhm-009","2022-06-16 19:51:22,759","2022-06-16 19:51:23,162"
"productHolon[1536]",44,"2022-06-16 19:51:21,681","2022-06-16 19:51:22,640","serv2","transport",false,"2022-06-16 19:51:22,087","2022-06-16 19:51:22,692","rht-003","2022-06-16 19:51:22,948","2022-06-16 19:51:23,085","rhm-004","2022-06-16 19:51:24,028","2022-06-16 19:51:24,278"
"productHolon[12]",1,"2022-06-16 19:51:16,652","2022-06-16 19:51:22,621","serv2","transport",false,"2022-06-16 19:51:21,989","2022-06-16 19:51:22,623","rht-004","2022-06-16 19:51:22,947","2022-06-16 19:51:23,339","rhm-010","2022-06-16 19:51:24,028","2022-06-16 19:51:24,533"
"productHolon[1548]",51,"2022-06-16 19:51:22,055","2022-06-16 19:51:22,690","serv2","transport",false,"2022-06-16 19:51:22,357","2022-06-16 19:51:22,933","rht-001","2022-06-16 19:51:23,168","2022-06-16 19:51:23,585","rhm-017","2022-06-16 19:51:24,671","2022-06-16 19:51:25,308"
"productHolon[360]",10,"2022-06-16 19:51:18,198","2022-06-16 19:51:23,671","serv2","transport",false,"2022-06-16 19:51:20,477","2022-06-16 19:51:23,696","rht-009","2022-06-16 19:51:24,079","2022-06-16 19:51:24,670","rhm-007","2022-06-16 19:51:24,992","2022-06-16 19:51:25,308"
"productHolon[1270]",67,"2022-06-16 19:51:23,165","2022-06-16 19:51:23,765","serv2","transport",false,"2022-06-16 19:51:23,654","2022-06-16 19:51:23,942","rht-007","2022-06-16 19:51:24,154","2022-06-16 19:51:24,475","rhm-015","2022-06-16 19:51:24,992","2022-06-16 19:51:25,527"
"productHolon[2086]",68,"2022-06-16 19:51:23,260","2022-06-16 19:51:23,927","serv2","transport",false,"2022-06-16 19:51:23,659","2022-06-16 19:51:23,964","rht-005","2022-06-16 19:51:24,149","2022-06-16 19:51:24,670","rhm-009","2022-06-16 19:51:25,233","2022-06-16 19:51:26,649"
"productHolon[72]",3,"2022-06-16 19:51:16,961","2022-06-16 19:51:24,075","serv2","transport",false,"2022-06-16 19:51:22,365","2022-06-16 19:51:24,087","rht-008","2022-06-16 19:51:24,506","2022-06-16 19:51:24,976","rhm-018","2022-06-16 19:51:25,896","2022-06-16 19:51:27,007"
"productHolon[1161]",75,"2022-06-16 19:51:23,827","2022-06-16 19:51:24,638","serv2","transport",false,"2022-06-16 19:51:23,937","2022-06-16 19:51:24,909","rht-007","2022-06-16 19:51:25,263","2022-06-16 19:51:26,008","rhm-020","2022-06-16 19:51:27,074","2022-06-16 19:51:27,180"
"productHolon[1204]",25,"2022-06-16 19:51:20,620","2022-06-16 19:51:24,136","serv2","transport",false,"2022-06-16 19:51:23,668","2022-06-16 19:51:24,139","rht-004","2022-06-16 19:51:24,947","2022-06-16 19:51:25,235","rhm-012","2022-06-16 19:51:26,322","2022-06-16 19:51:27,556"
"productHolon[2010]",54,"2022-06-16 19:51:22,258","2022-06-16 19:51:24,348","serv2","transport",false,"2022-06-16 19:51:22,878","2022-06-16 19:51:24,424","rht-003","2022-06-16 19:51:24,708","2022-06-16 19:51:24,975","rhm-006","2022-06-16 19:51:26,402","2022-06-16 19:51:27,557"
"productHolon[1553]",40,"2022-06-16 19:51:21,420","2022-06-16 19:51:23,389","serv2","transport",false,"2022-06-16 19:51:22,699","2022-06-16 19:51:23,505","rht-010","2022-06-16 19:51:23,762","2022-06-16 19:51:24,749","rhm-013","2022-06-16 19:51:27,266","2022-06-16 19:51:27,557"
"productHolon[254]",9,"2022-06-16 19:51:18,030","2022-06-16 19:51:24,178","serv2","transport",false,"2022-06-16 19:51:22,484","2022-06-16 19:51:24,179","rht-006","2022-06-16 19:51:25,449","2022-06-16 19:51:26,998","rhm-003","2022-06-16 19:51:27,706","2022-06-16 19:51:28,664"
"productHolon[319]",14,"2022-06-16 19:51:18,996","2022-06-16 19:51:24,427","serv2","transport",false,"2022-06-16 19:51:21,488","2022-06-16 19:51:25,835","rht-008","2022-06-16 19:51:26,796","2022-06-16 19:51:27,182","rhm-005","2022-06-16 19:51:27,591","2022-06-16 19:51:28,665"
"productHolon[398]",11,"2022-06-16 19:51:18,431","2022-06-16 19:51:24,064","serv2","transport",false,"2022-06-16 19:51:22,534","2022-06-16 19:51:24,285","rht-002","2022-06-16 19:51:25,507","2022-06-16 19:51:26,007","rhm-002","2022-06-16 19:51:27,193","2022-06-16 19:51:28,665"
