"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[186]",13,"2022-06-17 08:30:15,048","2022-06-17 08:30:16,261","serv1","transport",false,"2022-06-17 08:30:15,919","2022-06-17 08:30:16,438","rht-007","2022-06-17 08:30:16,678","2022-06-17 08:30:17,359","rhm-007","2022-06-17 08:30:17,796","2022-06-17 08:30:17,909"
"productHolon[7]",12,"2022-06-17 08:30:14,839","2022-06-17 08:30:15,746","serv1","transport",false,"2022-06-17 08:30:15,460","2022-06-17 08:30:15,749","rht-009","2022-06-17 08:30:16,475","2022-06-17 08:30:16,665","rhm-009","2022-06-17 08:30:17,066","2022-06-17 08:30:17,909"
"productHolon[213]",9,"2022-06-17 08:30:14,356","2022-06-17 08:30:16,440","serv1","transport",false,"2022-06-17 08:30:16,391","2022-06-17 08:30:16,443","rht-001","2022-06-17 08:30:16,932","2022-06-17 08:30:17,429","rhm-008","2022-06-17 08:30:18,493","2022-06-17 08:30:18,865"
"productHolon[42]",3,"2022-06-17 08:30:13,549","2022-06-17 08:30:16,669","serv2","transport",false,"2022-06-17 08:30:16,458","2022-06-17 08:30:17,088","rht-005","2022-06-17 08:30:17,459","2022-06-17 08:30:17,659","rhm-006","2022-06-17 08:30:18,492","2022-06-17 08:30:18,865"
"productHolon[102]",26,"2022-06-17 08:30:16,098","2022-06-17 08:30:16,984","serv3","transport",false,"2022-06-17 08:30:16,894","2022-06-17 08:30:17,681","rht-002","2022-06-17 08:30:17,827","2022-06-17 08:30:18,546","rhm-005","2022-06-17 08:30:18,884","2022-06-17 08:30:19,186"
"productHolon[132]",8,"2022-06-17 08:30:13,952","2022-06-17 08:30:16,265","serv2","transport",false,"2022-06-17 08:30:15,101","2022-06-17 08:30:16,275","rht-010","2022-06-17 08:30:16,475","2022-06-17 08:30:16,890","rhm-009","2022-06-17 08:30:18,885","2022-06-17 08:30:19,230"
"productHolon[219]",14,"2022-06-17 08:30:15,152","2022-06-17 08:30:17,436","serv2","transport",false,"2022-06-17 08:30:17,339","2022-06-17 08:30:17,878","rht-006","2022-06-17 08:30:18,420","2022-06-17 08:30:18,545","rhm-003","2022-06-17 08:30:19,149","2022-06-17 08:30:19,655"
"productHolon[124]",28,"2022-06-17 08:30:16,228","2022-06-17 08:30:16,676","serv2","transport",false,"2022-06-17 08:30:16,602","2022-06-17 08:30:17,918","rht-009","2022-06-17 08:30:18,459","2022-06-17 08:30:18,774","rhm-008","2022-06-17 08:30:19,700","2022-06-17 08:30:20,406"
"productHolon[324]",11,"2022-06-17 08:30:14,620","2022-06-17 08:30:17,968","serv1","transport",false,"2022-06-17 08:30:17,566","2022-06-17 08:30:18,453","rht-010","2022-06-17 08:30:18,868","2022-06-17 08:30:19,576","rhm-006","2022-06-17 08:30:20,105","2022-06-17 08:30:21,021"
"productHolon[218]",27,"2022-06-17 08:30:16,211","2022-06-17 08:30:17,682","serv1","transport",false,"2022-06-17 08:30:17,571","2022-06-17 08:30:18,674","rht-005","2022-06-17 08:30:19,606","2022-06-17 08:30:19,880","rhm-010","2022-06-17 08:30:20,404","2022-06-17 08:30:21,260"
