"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[214]",5,"2022-06-17 13:53:36,514","2022-06-17 13:53:38,525","serv1","transport",false,"2022-06-17 13:53:37,211","2022-06-17 13:53:38,578","rht-010","2022-06-17 13:53:38,781","2022-06-17 13:53:39,139","rhm-009","2022-06-17 13:53:39,584","2022-06-17 13:53:39,838"
"productHolon[356]",12,"2022-06-17 13:53:37,213","2022-06-17 13:53:39,073","serv1","transport",false,"2022-06-17 13:53:38,451","2022-06-17 13:53:39,137","rht-009","2022-06-17 13:53:39,229","2022-06-17 13:53:39,516","rhm-010","2022-06-17 13:53:40,106","2022-06-17 13:53:40,133"
"productHolon[908]",30,"2022-06-17 13:53:38,859","2022-06-17 13:53:39,878","serv1","transport",false,"2022-06-17 13:53:39,834","2022-06-17 13:53:39,887","rht-002","2022-06-17 13:53:40,347","2022-06-17 13:53:40,424","rhm-002","2022-06-17 13:53:40,722","2022-06-17 13:53:41,209"
"productHolon[6]",11,"2022-06-17 13:53:37,076","2022-06-17 13:53:39,448","serv1","transport",false,"2022-06-17 13:53:38,332","2022-06-17 13:53:39,463","rht-008","2022-06-17 13:53:39,984","2022-06-17 13:53:40,021","rhm-005","2022-06-17 13:53:40,609","2022-06-17 13:53:41,209"
"productHolon[273]",28,"2022-06-17 13:53:38,790","2022-06-17 13:53:41,708","serv1","transport",false,"2022-06-17 13:53:41,509","2022-06-17 13:53:41,752","rht-009","2022-06-17 13:53:41,920","2022-06-17 13:53:42,021","rhm-005","2022-06-17 13:53:42,096","2022-06-17 13:53:42,356"
"productHolon[1371]",44,"2022-06-17 13:53:39,182","2022-06-17 13:53:42,599","serv1","transport",false,"2022-06-17 13:53:40,471","2022-06-17 13:53:42,608","rht-008","2022-06-17 13:53:42,739","2022-06-17 13:53:42,808","rhm-009","2022-06-17 13:53:43,018","2022-06-17 13:53:43,182"
"productHolon[142]",128,"2022-06-17 13:53:42,247","2022-06-17 13:53:42,621","serv1","transport",false,"2022-06-17 13:53:42,409","2022-06-17 13:53:42,623","rht-006","2022-06-17 13:53:42,767","2022-06-17 13:53:42,808","rhm-005","2022-06-17 13:53:43,131","2022-06-17 13:53:43,641"
"productHolon[528]",9,"2022-06-17 13:53:36,980","2022-06-17 13:53:43,109","serv1","transport",false,"2022-06-17 13:53:41,471","2022-06-17 13:53:43,190","rht-005","2022-06-17 13:53:43,343","2022-06-17 13:53:43,585","rhm-002","2022-06-17 13:53:43,970","2022-06-17 13:53:44,203"
"productHolon[356]",130,"2022-06-17 13:53:42,254","2022-06-17 13:53:43,099","serv2","transport",false,"2022-06-17 13:53:42,299","2022-06-17 13:53:43,203","rht-004","2022-06-17 13:53:43,342","2022-06-17 13:53:43,585","rhm-004","2022-06-17 13:53:43,982","2022-06-17 13:53:44,204"
"productHolon[13]",1,"2022-06-17 13:53:35,160","2022-06-17 13:53:43,091","serv1","transport",false,"2022-06-17 13:53:35,979","2022-06-17 13:53:43,108","rht-010","2022-06-17 13:53:43,343","2022-06-17 13:53:43,627","rhm-006","2022-06-17 13:53:43,971","2022-06-17 13:53:44,297"
"productHolon[1351]",43,"2022-06-17 13:53:39,179","2022-06-17 13:53:43,621","serv1","transport",false,"2022-06-17 13:53:39,390","2022-06-17 13:53:43,680","rht-006","2022-06-17 13:53:43,805","2022-06-17 13:53:44,256","rhm-001","2022-06-17 13:53:44,461","2022-06-17 13:53:45,150"
"productHolon[1436]",79,"2022-06-17 13:53:41,294","2022-06-17 13:53:43,860","serv1","transport",false,"2022-06-17 13:53:43,720","2022-06-17 13:53:43,910","rht-003","2022-06-17 13:53:44,434","2022-06-17 13:53:44,905","rhm-005","2022-06-17 13:53:45,099","2022-06-17 13:53:45,150"
"productHolon[902]",17,"2022-06-17 13:53:38,160","2022-06-17 13:53:44,079","serv1","transport",false,"2022-06-17 13:53:38,924","2022-06-17 13:53:44,092","rht-008","2022-06-17 13:53:44,435","2022-06-17 13:53:44,995","rhm-007","2022-06-17 13:53:45,313","2022-06-17 13:53:45,584"
