"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[9]",2,"2022-06-16 01:16:29,264","2022-06-16 01:16:29,805","serv1","transport",false,"2022-06-16 01:16:29,521","2022-06-16 01:16:29,814","rht-001","2022-06-16 01:16:30,089","2022-06-16 01:16:30,292","rhm-001","2022-06-16 01:16:30,733","2022-06-16 01:16:30,772"
"productHolon[142]",9,"2022-06-16 01:16:29,849","2022-06-16 01:16:31,258","serv1","transport",false,"2022-06-16 01:16:31,221","2022-06-16 01:16:31,268","rht-001","2022-06-16 01:16:31,488","2022-06-16 01:16:31,524","rhm-001","2022-06-16 01:16:31,990","2022-06-16 01:16:32,024"
"productHolon[9]",11,"2022-06-16 01:16:31,217","2022-06-16 01:16:31,264","serv2","transport",false,"2022-06-16 01:16:31,219","2022-06-16 01:16:31,666","rht-001","2022-06-16 01:16:32,284","2022-06-16 01:16:32,554","rhm-001","2022-06-16 01:16:33,177","2022-06-16 01:16:33,491"
"productHolon[80]",3,"2022-06-16 01:16:29,466","2022-06-16 01:16:32,482","serv1","transport",false,"2022-06-16 01:16:29,523","2022-06-16 01:16:32,610","rht-001","2022-06-16 01:16:33,339","2022-06-16 01:16:33,372","rhm-001","2022-06-16 01:16:34,059","2022-06-16 01:16:34,301"
"productHolon[9]",13,"2022-06-16 01:16:33,535","2022-06-16 01:16:33,546","serv3","transport",false,"2022-06-16 01:16:33,537","2022-06-16 01:16:33,638","rht-001","2022-06-16 01:16:33,972","2022-06-16 01:16:34,134","rhm-001","2022-06-16 01:16:35,316","2022-06-16 01:16:35,349"
"productHolon[142]",12,"2022-06-16 01:16:32,460","2022-06-16 01:16:33,543","serv2","transport",false,"2022-06-16 01:16:33,533","2022-06-16 01:16:34,411","rht-001","2022-06-16 01:16:34,780","2022-06-16 01:16:35,351","rhm-001","2022-06-16 01:16:36,246","2022-06-16 01:16:36,917"
"productHolon[129]",7,"2022-06-16 01:16:29,757","2022-06-16 01:16:34,624","serv1","transport",false,"2022-06-16 01:16:34,615","2022-06-16 01:16:35,394","rht-001","2022-06-16 01:16:36,123","2022-06-16 01:16:36,364","rhm-001","2022-06-16 01:16:37,854","2022-06-16 01:16:38,282"
"productHolon[102]",4,"2022-06-16 01:16:29,554","2022-06-16 01:16:38,359","serv1","transport",false,"2022-06-16 01:16:38,322","2022-06-16 01:16:38,362","rht-001","2022-06-16 01:16:38,436","2022-06-16 01:16:38,559","rhm-001","2022-06-16 01:16:39,286","2022-06-16 01:16:39,595"
"productHolon[80]",14,"2022-06-16 01:16:34,611","2022-06-16 01:16:37,002","serv2","transport",false,"2022-06-16 01:16:36,977","2022-06-16 01:16:37,465","rht-001","2022-06-16 01:16:37,927","2022-06-16 01:16:38,208","rhm-001","2022-06-16 01:16:40,462","2022-06-16 01:16:40,839"
"productHolon[102]",18,"2022-06-16 01:16:39,642","2022-06-16 01:16:40,883","serv2","transport",false,"2022-06-16 01:16:40,881","2022-06-16 01:16:40,884","rht-001","2022-06-16 01:16:41,080","2022-06-16 01:16:41,333","rhm-001","2022-06-16 01:16:41,503","2022-06-16 01:16:42,135"
