"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[82]",2,"2022-06-16 00:59:13,796","2022-06-16 00:59:14,202","serv1","transport",false,"2022-06-16 00:59:13,885","2022-06-16 00:59:14,265","rht-001","2022-06-16 00:59:14,993","2022-06-16 00:59:21,867","rhm-001","2022-06-16 01:00:57,545","2022-06-16 01:00:57,864"
"productHolon[82]",1001,"2022-06-16 01:01:09,732","2022-06-16 01:01:09,739","serv2","transport",false,"2022-06-16 01:01:09,734","2022-06-16 01:01:09,744","rht-001","2022-06-16 01:01:09,770","2022-06-16 01:01:12,463","rhm-001","2022-06-16 01:01:12,534","2022-06-16 01:01:28,588"
"productHolon[2921]",407,"2022-06-16 00:59:17,458","2022-06-16 01:01:09,745","serv1","transport",false,"2022-06-16 01:01:09,741","2022-06-16 01:01:12,503","rht-001","2022-06-16 01:01:13,771","2022-06-16 01:01:13,857","rhm-001","2022-06-16 01:01:29,336","2022-06-16 01:01:29,369"
"productHolon[3106]",446,"2022-06-16 00:59:17,585","2022-06-16 01:02:58,662","serv1","transport",false,"2022-06-16 01:02:58,654","2022-06-16 01:02:58,674","rht-001","2022-06-16 01:02:58,950","2022-06-16 01:03:00,619","rhm-001","2022-06-16 01:03:44,230","2022-06-16 01:06:00,454"
"productHolon[82]",1002,"2022-06-16 01:01:28,623","2022-06-16 01:01:28,633","serv3","transport",false,"2022-06-16 01:01:28,625","2022-06-16 01:01:28,635","rht-001","2022-06-16 01:01:28,804","2022-06-16 01:01:36,395","rhm-001","2022-06-16 01:06:07,320","2022-06-16 01:06:26,827"
"productHolon[2921]",1003,"2022-06-16 01:02:58,666","2022-06-16 01:02:58,681","serv2","transport",false,"2022-06-16 01:02:58,673","2022-06-16 01:03:00,659","rht-001","2022-06-16 01:03:01,101","2022-06-16 01:03:10,992","rhm-001","2022-06-16 01:06:53,531","2022-06-16 01:07:58,323"
"productHolon[1394]",182,"2022-06-16 00:59:16,232","2022-06-16 01:06:00,521","serv1","transport",false,"2022-06-16 01:06:00,505","2022-06-16 01:06:00,529","rht-001","2022-06-16 01:06:00,688","2022-06-16 01:06:08,777","rhm-001","2022-06-16 01:07:59,652","2022-06-16 01:07:59,687"
"productHolon[3106]",1004,"2022-06-16 01:06:00,510","2022-06-16 01:07:58,383","serv2","transport",false,"2022-06-16 01:07:58,379","2022-06-16 01:08:01,898","rht-001","2022-06-16 01:08:03,329","2022-06-16 01:08:03,360","rhm-001","2022-06-16 01:08:15,733","2022-06-16 01:08:37,807"
"productHolon[2315]",323,"2022-06-16 00:59:17,019","2022-06-16 01:08:14,373","serv1","transport",false,"2022-06-16 01:08:14,365","2022-06-16 01:08:14,376","rht-001","2022-06-16 01:08:14,383","2022-06-16 01:08:14,609","rhm-001","2022-06-16 01:08:38,912","2022-06-16 01:08:39,188"
"productHolon[2921]",1006,"2022-06-16 01:07:58,367","2022-06-16 01:07:58,375","serv3","transport",false,"2022-06-16 01:07:58,368","2022-06-16 01:07:58,377","rht-001","2022-06-16 01:07:58,392","2022-06-16 01:08:01,856","rhm-001","2022-06-16 01:08:48,532","2022-06-16 01:08:48,563"
"productHolon[3106]",1008,"2022-06-16 01:08:37,844","2022-06-16 01:10:20,204","serv3","transport",false,"2022-06-16 01:10:20,194","2022-06-16 01:10:20,206","rht-001","2022-06-16 01:10:20,214","2022-06-16 01:10:23,066","rhm-001","2022-06-16 01:10:47,417","2022-06-16 01:10:47,740"
"productHolon[1394]",1007,"2022-06-16 01:08:14,359","2022-06-16 01:08:37,893","serv2","transport",false,"2022-06-16 01:08:37,850","2022-06-16 01:08:37,895","rht-001","2022-06-16 01:08:38,239","2022-06-16 01:08:38,269","rhm-001","2022-06-16 01:11:00,963","2022-06-16 01:11:16,841"
"productHolon[3873]",534,"2022-06-16 00:59:17,999","2022-06-16 01:08:47,858","serv1","transport",false,"2022-06-16 01:08:47,853","2022-06-16 01:08:47,859","rht-001","2022-06-16 01:08:48,078","2022-06-16 01:08:48,110","rhm-001","2022-06-16 01:11:17,577","2022-06-16 01:12:07,302"
