"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[126]",2,"2022-06-16 02:37:14,844","2022-06-16 02:37:16,217","serv1","transport",false,"2022-06-16 02:37:15,987","2022-06-16 02:37:16,225","rht-004","2022-06-16 02:37:16,514","2022-06-16 02:37:16,666","rhm-009","2022-06-16 02:37:16,994","2022-06-16 02:37:17,063"
"productHolon[395]",7,"2022-06-16 02:37:15,766","2022-06-16 02:37:16,250","serv1","transport",false,"2022-06-16 02:37:15,818","2022-06-16 02:37:16,392","rht-005","2022-06-16 02:37:16,562","2022-06-16 02:37:17,102","rhm-005","2022-06-16 02:37:17,286","2022-06-16 02:37:17,592"
"productHolon[340]",6,"2022-06-16 02:37:15,507","2022-06-16 02:37:17,333","serv1","transport",false,"2022-06-16 02:37:16,770","2022-06-16 02:37:17,859","rht-005","2022-06-16 02:37:18,179","2022-06-16 02:37:18,358","rhm-006","2022-06-16 02:37:18,619","2022-06-16 02:37:18,854"
"productHolon[717]",23,"2022-06-16 02:37:16,698","2022-06-16 02:37:17,324","serv1","transport",false,"2022-06-16 02:37:17,094","2022-06-16 02:37:17,840","rht-003","2022-06-16 02:37:18,178","2022-06-16 02:37:18,670","rhm-007","2022-06-16 02:37:18,938","2022-06-16 02:37:19,186"
"productHolon[657]",19,"2022-06-16 02:37:16,492","2022-06-16 02:37:17,912","serv1","transport",false,"2022-06-16 02:37:17,111","2022-06-16 02:37:18,303","rht-004","2022-06-16 02:37:18,549","2022-06-16 02:37:18,671","rhm-005","2022-06-16 02:37:19,199","2022-06-16 02:37:19,596"
"productHolon[706]",18,"2022-06-16 02:37:16,485","2022-06-16 02:37:17,967","serv1","transport",false,"2022-06-16 02:37:17,115","2022-06-16 02:37:18,744","rht-005","2022-06-16 02:37:19,469","2022-06-16 02:37:19,754","rhm-009","2022-06-16 02:37:19,927","2022-06-16 02:37:20,330"
"productHolon[311]",8,"2022-06-16 02:37:15,952","2022-06-16 02:37:19,411","serv1","transport",false,"2022-06-16 02:37:17,112","2022-06-16 02:37:19,412","rht-004","2022-06-16 02:37:19,808","2022-06-16 02:37:19,876","rhm-010","2022-06-16 02:37:20,333","2022-06-16 02:37:20,719"
"productHolon[1136]",43,"2022-06-16 02:37:17,833","2022-06-16 02:37:20,337","serv1","transport",false,"2022-06-16 02:37:19,742","2022-06-16 02:37:20,427","rht-005","2022-06-16 02:37:20,546","2022-06-16 02:37:20,887","rhm-007","2022-06-16 02:37:21,183","2022-06-16 02:37:21,461"
"productHolon[1083]",56,"2022-06-16 02:37:18,514","2022-06-16 02:37:20,858","serv1","transport",false,"2022-06-16 02:37:19,400","2022-06-16 02:37:20,898","rht-003","2022-06-16 02:37:21,075","2022-06-16 02:37:21,439","rhm-006","2022-06-16 02:37:21,624","2022-06-16 02:37:22,033"
"productHolon[657]",91,"2022-06-16 02:37:20,444","2022-06-16 02:37:21,446","serv2","transport",false,"2022-06-16 02:37:20,550","2022-06-16 02:37:21,449","rht-005","2022-06-16 02:37:21,909","2022-06-16 02:37:21,945","rhm-003","2022-06-16 02:37:22,693","2022-06-16 02:37:22,746"
"productHolon[1147]",50,"2022-06-16 02:37:18,169","2022-06-16 02:37:22,383","serv1","transport",false,"2022-06-16 02:37:19,806","2022-06-16 02:37:22,423","rht-005","2022-06-16 02:37:22,897","2022-06-16 02:37:23,065","rhm-005","2022-06-16 02:37:23,490","2022-06-16 02:37:23,885"
"productHolon[395]",87,"2022-06-16 02:37:20,308","2022-06-16 02:37:21,455","serv2","transport",false,"2022-06-16 02:37:20,312","2022-06-16 02:37:22,257","rht-004","2022-06-16 02:37:22,897","2022-06-16 02:37:23,065","rhm-008","2022-06-16 02:37:23,491","2022-06-16 02:37:23,885"
"productHolon[1640]",75,"2022-06-16 02:37:19,731","2022-06-16 02:37:22,548","serv1","transport",false,"2022-06-16 02:37:20,757","2022-06-16 02:37:22,732","rht-003","2022-06-16 02:37:22,997","2022-06-16 02:37:23,368","rhm-009","2022-06-16 02:37:23,809","2022-06-16 02:37:24,029"
"productHolon[2215]",117,"2022-06-16 02:37:21,642","2022-06-16 02:37:22,741","serv1","transport",false,"2022-06-16 02:37:21,851","2022-06-16 02:37:23,965","rht-003","2022-06-16 02:37:24,368","2022-06-16 02:37:24,641","rhm-007","2022-06-16 02:37:25,005","2022-06-16 02:37:25,038"
"productHolon[700]",17,"2022-06-16 02:37:16,470","2022-06-16 02:37:21,985","serv1","transport",false,"2022-06-16 02:37:17,083","2022-06-16 02:37:23,503","rht-005","2022-06-16 02:37:24,042","2022-06-16 02:37:24,074","rhm-008","2022-06-16 02:37:25,299","2022-06-16 02:37:25,342"
"productHolon[717]",127,"2022-06-16 02:37:22,088","2022-06-16 02:37:22,189","serv2","transport",false,"2022-06-16 02:37:22,160","2022-06-16 02:37:24,162","rht-004","2022-06-16 02:37:24,840","2022-06-16 02:37:25,186","rhm-006","2022-06-16 02:37:25,759","2022-06-16 02:37:26,041"
"productHolon[1136]",148,"2022-06-16 02:37:22,788","2022-06-16 02:37:24,718","serv2","transport",false,"2022-06-16 02:37:22,790","2022-06-16 02:37:24,840","rht-003","2022-06-16 02:37:25,092","2022-06-16 02:37:25,485","rhm-007","2022-06-16 02:37:25,759","2022-06-16 02:37:26,260"
"productHolon[864]",28,"2022-06-16 02:37:17,060","2022-06-16 02:37:25,710","serv1","transport",false,"2022-06-16 02:37:17,112","2022-06-16 02:37:25,751","rht-005","2022-06-16 02:37:25,977","2022-06-16 02:37:26,205","rhm-008","2022-06-16 02:37:26,501","2022-06-16 02:37:26,643"
"productHolon[1282]",63,"2022-06-16 02:37:18,935","2022-06-16 02:37:22,799","serv1","transport",false,"2022-06-16 02:37:22,262","2022-06-16 02:37:24,449","rht-005","2022-06-16 02:37:24,839","2022-06-16 02:37:25,186","rhm-006","2022-06-16 02:37:26,501","2022-06-16 02:37:26,779"
