"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[8]",1,"2022-06-16 18:25:53,875","2022-06-16 18:25:54,584","serv1","transport",false,"2022-06-16 18:25:54,533","2022-06-16 18:25:54,602","rht-001","2022-06-16 18:25:55,028","2022-06-16 18:25:55,240","rhm-001","2022-06-16 18:25:55,524","2022-06-16 18:25:55,837"
"productHolon[8]",2,"2022-06-16 18:25:55,889","2022-06-16 18:25:55,904","tr.warehouse","transport",true,"2022-06-16 18:25:55,892",,"rht-001","2022-06-16 18:25:56,162","2022-06-16 18:25:56,188",,,
"productHolon[206]",3,"2022-06-16 18:26:47,763","2022-06-16 18:26:48,350","serv1","transport",false,"2022-06-16 18:26:48,321","2022-06-16 18:26:48,355","rht-001","2022-06-16 18:26:48,465","2022-06-16 18:26:48,826","rhm-001","2022-06-16 18:26:49,085","2022-06-16 18:26:49,306"
"productHolon[206]",4,"2022-06-16 18:26:49,620","2022-06-16 18:26:49,635","tr.warehouse","transport",true,"2022-06-16 18:26:49,622",,"rht-001","2022-06-16 18:26:49,670","2022-06-16 18:26:50,201",,,
"productHolon[408]",5,"2022-06-16 18:27:05,967","2022-06-16 18:27:06,434","serv1","transport",false,"2022-06-16 18:27:06,423","2022-06-16 18:27:06,445","rht-001","2022-06-16 18:27:06,855","2022-06-16 18:27:07,223","rhm-001","2022-06-16 18:27:07,563","2022-06-16 18:27:07,988"
"productHolon[408]",6,"2022-06-16 18:27:08,021","2022-06-16 18:27:08,028","tr.warehouse","transport",true,"2022-06-16 18:27:08,024",,"rht-001","2022-06-16 18:27:08,081","2022-06-16 18:27:08,450",,,
"productHolon[679]",12,"2022-06-16 18:29:20,120","2022-06-16 18:29:20,548","serv1","transport",false,"2022-06-16 18:29:20,537","2022-06-16 18:29:20,559","rht-001","2022-06-16 18:29:20,896","2022-06-16 18:29:21,267","rhm-001","2022-06-16 18:29:21,330","2022-06-16 18:29:21,987"
"productHolon[651]",9,"2022-06-16 18:29:20,027","2022-06-16 18:29:22,040","serv1","transport",false,"2022-06-16 18:29:22,037","2022-06-16 18:29:22,041","rht-001","2022-06-16 18:29:22,050","2022-06-16 18:29:22,315","rhm-001","2022-06-16 18:29:22,592","2022-06-16 18:29:23,253"
"productHolon[679]",17,"2022-06-16 18:29:22,035","","tr.warehouse","",true,"2022-06-16 18:29:22,044",,"rht-001","2022-06-16 18:29:22,923","2022-06-16 18:29:23,392",,,
"productHolon[700]",15,"2022-06-16 18:29:20,124","2022-06-16 18:29:23,295","serv1","transport",false,"2022-06-16 18:29:23,293","2022-06-16 18:29:23,297","rht-001","2022-06-16 18:29:23,830","2022-06-16 18:29:24,344","rhm-001","2022-06-16 18:29:24,404","2022-06-16 18:29:24,735"
"productHolon[651]",18,"2022-06-16 18:29:23,289","2022-06-16 18:29:23,429","tr.warehouse","transport",true,"2022-06-16 18:29:23,423",,"rht-001","2022-06-16 18:29:24,840","2022-06-16 18:29:25,462",,,
"productHolon[686]",11,"2022-06-16 18:29:20,069","2022-06-16 18:29:25,207","serv1","transport",false,"2022-06-16 18:29:25,203","2022-06-16 18:29:25,208","rht-001","2022-06-16 18:29:25,961","2022-06-16 18:29:26,508","rhm-001","2022-06-16 18:29:26,574","2022-06-16 18:29:26,879"
"productHolon[700]",19,"2022-06-16 18:29:25,196","","tr.warehouse","",true,"2022-06-16 18:29:25,501",,"rht-001","2022-06-16 18:29:26,960","2022-06-16 18:29:27,514",,,
"productHolon[692]",13,"2022-06-16 18:29:20,121","2022-06-16 18:29:27,215","serv1","transport",false,"2022-06-16 18:29:27,212","2022-06-16 18:29:27,223","rht-001","2022-06-16 18:29:28,098","2022-06-16 18:29:28,374","rhm-001","2022-06-16 18:29:28,678","2022-06-16 18:29:28,702"
"productHolon[686]",20,"2022-06-16 18:29:27,217","2022-06-16 18:29:27,562","tr.warehouse","transport",true,"2022-06-16 18:29:27,556",,"rht-001","2022-06-16 18:29:29,150","2022-06-16 18:29:29,183",,,
"productHolon[706]",14,"2022-06-16 18:29:20,123","2022-06-16 18:29:29,145","serv1","transport",false,"2022-06-16 18:29:29,134","2022-06-16 18:29:29,147","rht-001","2022-06-16 18:29:30,036","2022-06-16 18:29:30,377","rhm-001","2022-06-16 18:29:30,437","2022-06-16 18:29:30,726"
"productHolon[692]",21,"2022-06-16 18:29:29,094","","tr.warehouse","",true,"2022-06-16 18:29:29,494",,"rht-001","2022-06-16 18:29:30,787","2022-06-16 18:29:31,405",,,
"productHolon[719]",16,"2022-06-16 18:29:20,129","2022-06-16 18:29:31,063","serv1","transport",false,"2022-06-16 18:29:31,059","2022-06-16 18:29:31,066","rht-001","2022-06-16 18:29:31,866","2022-06-16 18:29:32,227","rhm-001","2022-06-16 18:29:32,301","2022-06-16 18:29:32,566"
"productHolon[706]",22,"2022-06-16 18:29:31,046","2022-06-16 18:29:31,445","tr.warehouse","transport",true,"2022-06-16 18:29:31,439",,"rht-001","2022-06-16 18:29:32,724","2022-06-16 18:29:33,256",,,
