"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[30]",3,"2022-06-16 08:36:14,718","2022-06-16 08:36:16,569","serv1","transport",false,"2022-06-16 08:36:15,383","2022-06-16 08:36:16,580","rht-002","2022-06-16 08:36:16,877","2022-06-16 08:36:17,145","rhm-004","2022-06-16 08:36:17,325","2022-06-16 08:36:17,913"
"productHolon[710]",24,"2022-06-16 08:36:16,401","2022-06-16 08:36:16,779","serv1","transport",false,"2022-06-16 08:36:16,619","2022-06-16 08:36:16,786","rht-007","2022-06-16 08:36:16,876","2022-06-16 08:36:17,145","rhm-003","2022-06-16 08:36:17,473","2022-06-16 08:36:17,965"
"productHolon[133]",5,"2022-06-16 08:36:15,379","2022-06-16 08:36:16,874","serv1","transport",false,"2022-06-16 08:36:16,541","2022-06-16 08:36:16,893","rht-005","2022-06-16 08:36:16,996","2022-06-16 08:36:17,243","rhm-005","2022-06-16 08:36:17,839","2022-06-16 08:36:18,302"
"productHolon[777]",25,"2022-06-16 08:36:16,443","2022-06-16 08:36:17,613","serv1","transport",false,"2022-06-16 08:36:16,510","2022-06-16 08:36:17,620","rht-008","2022-06-16 08:36:17,977","2022-06-16 08:36:18,378","rhm-002","2022-06-16 08:36:18,759","2022-06-16 08:36:18,797"
"productHolon[99]",4,"2022-06-16 08:36:14,851","2022-06-16 08:36:18,684","serv1","transport",false,"2022-06-16 08:36:16,612","2022-06-16 08:36:18,702","rht-003","2022-06-16 08:36:18,842","2022-06-16 08:36:19,045","rhm-001","2022-06-16 08:36:19,525","2022-06-16 08:36:19,587"
"productHolon[929]",34,"2022-06-16 08:36:16,813","2022-06-16 08:36:18,791","serv1","transport",false,"2022-06-16 08:36:18,401","2022-06-16 08:36:18,812","rht-007","2022-06-16 08:36:18,989","2022-06-16 08:36:19,424","rhm-005","2022-06-16 08:36:19,524","2022-06-16 08:36:19,728"
"productHolon[1229]",58,"2022-06-16 08:36:17,953","2022-06-16 08:36:18,678","serv1","transport",false,"2022-06-16 08:36:18,175","2022-06-16 08:36:18,693","rht-001","2022-06-16 08:36:18,842","2022-06-16 08:36:19,423","rhm-003","2022-06-16 08:36:20,699","2022-06-16 08:36:20,742"
"productHolon[1446]",105,"2022-06-16 08:36:19,155","2022-06-16 08:36:19,323","serv1","transport",false,"2022-06-16 08:36:19,212","2022-06-16 08:36:19,416","rht-010","2022-06-16 08:36:19,546","2022-06-16 08:36:20,302","rhm-002","2022-06-16 08:36:20,752","2022-06-16 08:36:21,015"
"productHolon[961]",50,"2022-06-16 08:36:17,493","2022-06-16 08:36:19,304","serv1","transport",false,"2022-06-16 08:36:18,075","2022-06-16 08:36:19,306","rht-009","2022-06-16 08:36:19,545","2022-06-16 08:36:19,729","rhm-004","2022-06-16 08:36:20,751","2022-06-16 08:36:21,121"
"productHolon[777]",120,"2022-06-16 08:36:19,690","2022-06-16 08:36:19,945","serv2","transport",false,"2022-06-16 08:36:19,790","2022-06-16 08:36:19,971","rht-002","2022-06-16 08:36:20,491","2022-06-16 08:36:20,663","rhm-005","2022-06-16 08:36:21,369","2022-06-16 08:36:21,837"
