"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[7]",4,"2022-06-16 03:08:27,265","2022-06-16 03:08:28,253","serv1","transport",false,"2022-06-16 03:08:28,234","2022-06-16 03:08:28,273","rht-010","2022-06-16 03:08:28,375","2022-06-16 03:08:28,545","rhm-009","2022-06-16 03:08:29,091","2022-06-16 03:08:29,308"
"productHolon[375]",6,"2022-06-16 03:08:27,624","2022-06-16 03:08:28,205","serv1","transport",false,"2022-06-16 03:08:28,127","2022-06-16 03:08:28,233","rht-007","2022-06-16 03:08:28,376","2022-06-16 03:08:28,658","rhm-006","2022-06-16 03:08:28,956","2022-06-16 03:08:29,308"
"productHolon[258]",5,"2022-06-16 03:08:27,453","2022-06-16 03:08:28,560","serv1","transport",false,"2022-06-16 03:08:28,471","2022-06-16 03:08:28,568","rht-008","2022-06-16 03:08:28,701","2022-06-16 03:08:29,266","rhm-007","2022-06-16 03:08:29,401","2022-06-16 03:08:29,789"
"productHolon[397]",8,"2022-06-16 03:08:27,842","2022-06-16 03:08:28,867","serv1","transport",false,"2022-06-16 03:08:28,636","2022-06-16 03:08:28,904","rht-006","2022-06-16 03:08:29,155","2022-06-16 03:08:29,594","rhm-008","2022-06-16 03:08:30,238","2022-06-16 03:08:30,500"
"productHolon[120]",3,"2022-06-16 03:08:27,071","2022-06-16 03:08:28,812","serv1","transport",false,"2022-06-16 03:08:28,648","2022-06-16 03:08:28,864","rht-007","2022-06-16 03:08:29,612","2022-06-16 03:08:29,653","rhm-010","2022-06-16 03:08:30,281","2022-06-16 03:08:30,500"
"productHolon[709]",23,"2022-06-16 03:08:28,311","2022-06-16 03:08:29,813","serv1","transport",false,"2022-06-16 03:08:29,597","2022-06-16 03:08:29,818","rht-010","2022-06-16 03:08:30,169","2022-06-16 03:08:30,448","rhm-009","2022-06-16 03:08:30,725","2022-06-16 03:08:30,917"
"productHolon[861]",35,"2022-06-16 03:08:28,665","2022-06-16 03:08:30,290","serv1","transport",false,"2022-06-16 03:08:29,718","2022-06-16 03:08:30,297","rht-009","2022-06-16 03:08:30,791","2022-06-16 03:08:31,031","rhm-006","2022-06-16 03:08:31,673","2022-06-16 03:08:31,709"
"productHolon[258]",68,"2022-06-16 03:08:30,536","2022-06-16 03:08:30,744","serv2","transport",false,"2022-06-16 03:08:30,546","2022-06-16 03:08:30,788","rht-010","2022-06-16 03:08:31,397","2022-06-16 03:08:31,722","rhm-009","2022-06-16 03:08:32,036","2022-06-16 03:08:32,505"
"productHolon[605]",13,"2022-06-16 03:08:28,217","2022-06-16 03:08:30,987","serv1","transport",false,"2022-06-16 03:08:30,726","2022-06-16 03:08:31,003","rht-007","2022-06-16 03:08:31,397","2022-06-16 03:08:31,722","rhm-008","2022-06-16 03:08:31,969","2022-06-16 03:08:32,506"
"productHolon[430]",9,"2022-06-16 03:08:28,106","2022-06-16 03:08:30,729","serv1","transport",false,"2022-06-16 03:08:30,355","2022-06-16 03:08:30,832","rht-006","2022-06-16 03:08:31,263","2022-06-16 03:08:31,591","rhm-007","2022-06-16 03:08:32,331","2022-06-16 03:08:32,560"
